Property_name,Property_type,Property_size,Total_rooms,Bedrooms,Bathrooms,Location,Price(Euros)
Renovated and bright top floor apartment with a view of Les Invalides,Apartments,103,NA,2,2,"Paris, Ile-De-France, 75007 France",1480000
Paris VIe - Saint Sulpice,Apartments,77,NA,3,2,"Paris, Ile-De-France, 75006 France",1480000
Paris 18 - Amazing apartment with a private garden in the heart of Montmartre,Apartments,71,4,2,1,"Paris, Ile-De-France, 75018 France",1469999
Apartment,Apartments,94,3,2,3,"Paris, Ile-De-France, 75017 France",1469999
Apartment,Apartments,98,5,2,2,"Paris, Ile-De-France, 75009 France",1450000
Open-plan family flat - Vaugirard - Paris 15th,Apartments,130,NA,3,2,"Paris, Ile-De-France, 75015 France",1450000
Victor Hugo/rue de la Pompe,Apartments,88,NA,2,2,"Paris, Ile-De-France, 75016 France",1390000
Family duplex - Paris 4th - Rambuteau district,Duplex Homes,125,5,4,2,"Paris, Ile-De-France, 75004 France",1390000
EXCLUSIVITÉ - Paris 1er - Louvre /Rivoli - Charmant appartement Familial,Apartments,106,5,4,3,"Paris, Ile-De-France, 75001 France",1390000
Paris 7 - Gros Caillou/Saint Dominique,Apartments,91,NA,2,2,"Paris, Ile-De-France, 75007 France",1390000
PARIS XVI - Family apartment - 4 bedrooms,Apartments,150,6,4,5,"Paris, Ile-De-France, 75016 France",1390000
Paris XVI - La Fontaine - Castel Béranger,Apartments,83,4,1,2,"Paris, Ile-De-France, 75016 France",1380000
FOR SALE - Apartment as a loft - 75003 PARIS - Arts et Métiers - Rambuteau,Apartments,71,3,1,2,"Paris, Ile-De-France, 75003 France",1380000
Appartement vue dégagée,Apartments,117,NA,2,2,"Paris, Ile-De-France, 75016 France",1374999
Apartment,Apartments,56,NA,2,2,"Paris, Ile-De-France, 75006 France",1360000
Apartment,Apartments,56,NA,1,2,"Paris, Ile-De-France, 75006 France",1360000
Pereire / Batignolles,Apartments,127,NA,2,3,"Paris, Ile-De-France, 75017 France",1354999
Garden level in a building with swimming pool.,Apartments,43,2,1,2,"Paris, Ile-De-France, 75007 France",1349999
Magnificent renovated 2-room apartment - Eiffel Tower view - Gros Caillou,Apartments,50,NA,1,1,"Paris, Ile-De-France, 75007 France",1349999
Paris 3 Rambuteau 2/3 pièces traversant,Apartments,96,3,1,2,"Paris, Ile-De-France, 75003 France",1349999
Paris 9th - Renovated family apartment,Apartments,102,4,3,3,"Paris, Ile-De-France, 75009 France",1349999
Duplex,Duplex Homes,76,4,2,3,"Paris, Ile-De-France, 75012 France",1348999
Apartment in Paris 9th - Saint Georges-Martyrs,Apartments,83,4,3,2,"Paris, Ile-De-France, 75009 France",1299999
PARIS - GROS CAILLOUX - EIFFEL TOWER,Apartments,74,3,2,2,"Paris, Ile-De-France, 75007 France",1299999
Apartment in Paris 6th - Saint Germain des Prés,Apartments,83,NA,2,1,"Paris, Ile-De-France, 75006 France",1299000
Saint Thomas d'Aquin - Appartement avec vue et balcon.,Apartments,65,NA,1,2,"Paris, Ile-De-France, 75007 France",1295000
Apartment in Paris 16th - Flandrin,Apartments,59,2,1,1,"Paris, Ile-De-France, 75116 France",1295000
Paris 7 - Bon marché - 2 bedrooms,Apartments,73,NA,2,2,"Paris, Ile-De-France, 75007 France",1290000
Paris XVI- Flandrin - exceptional 'Pied à terre',Apartments,60,2,1,2,"Paris, Ile-De-France, 75116 France",1290000
Paris II - Contemporary apartment with open views on a high floor,Apartments,100,NA,3,3,"Paris, Ile-De-France, 75002 France",1290000
Paris IX - Charming apartment on a high floor with a large long balcony,Apartments,100,NA,2,4,"Paris, Ile-De-France, 75009 France",1270000
Paris 7th - Gros Caillou - 1 Bedroom,Apartments,49,2,1,2,"Paris, Ile-De-France, 75007 France",1259999
Avenue Foch - Apartment with garden,Apartments,70,2,1,1,"Paris, Ile-De-France, 75116 France",1250000
Paris 16th Victor Hugo,Apartments,106,5,NA,1,"Paris, Ile-De-France, 75016 France",1250000
Place Saint-Georges / Rue des Martyrs - Bright 2 bedrooms apartment,Apartments,95,NA,2,1,"Paris, Ile-De-France, 75009 France",1234999
Apartment,Apartments,94,NA,2,3,"Paris, Ile-De-France, 75003 France",1234999
Beautiful 3-room apartment with balcony - Hoche / Monceau,Apartments,76,3,1,NA,"Paris, Ile-De-France, 75008 France",1200000
Garden flat with gardens and terraces - Paris 12th - Daumesnil,Apartments,128,NA,3,4,"Paris, Ile-De-France, 75012 France",1200000
Appartement terrasse - Village d' Auteuil à PARIS XVI,Apartments,78,NA,1,2,"Paris, Ile-De-France, 75016 France",1189999
PARIS - SAINT GERMAIN DES PRES,Apartments,47,2,1,2,"Paris, Ile-De-France, 75006 France",1189999
Appartement terrasse - Village d' Auteuil à PARIS XVI,Apartments,78,NA,1,2,"Paris, Ile-De-France, 75016 France",1189999
PARIS III - Charming apartment with 3 bedrooms renovated in the Temple district.,Apartments,79,NA,3,3,"Paris, Ile-De-France, 75003 France",1169999
Paris XVI - Muette : Entirely renovated elegant and modern apartment,Apartments,89,NA,2,3,"Paris, Ile-De-France, 75016 France",1165999
3-room two-bedroom apartment on 5th floor with Eiffel Tower view,Apartments,75,3,2,1,"Paris, Ile-De-France, 75011 France",1160000
Paris 16 - Duplex dernier étage avec terrasse de plain pied et vue Tour Eiffel -,Apartments,98,4,2,NA,"Paris, Ile-De-France, 75016 France",1150000
Paris 11 - Chemin Vert,Apartments,87,NA,2,3,"Paris, Ile-De-France, 75011 France",1150000
Perfect pied-à-terre close to Rue Cler Market,Apartments,61,3,2,3,"Paris, Ile-De-France, 75007 France",1150000
Paris 6 - St Germain des Près - Pied-à-terre rénové - 2 Chambres,Apartments,63,NA,2,2,"Paris, Ile-De-France, 75006 France",1139999
Paris 6th - Saint-Germain-des-Prés / Rue Bonaparte,Apartments,61,NA,1,2,"Paris, Ile-De-France, 75006 France",1119999
DERNIER ETAGE - VUE TOUS MONUMENTS,Apartments,81,4,2,2,"Paris, Ile-De-France, 75016 France",1105000
Paris 17th - Beautiful renovated apartment,Apartments,61,3,1,2,"Paris, Ile-De-France, 75017 France",1099999
Apartment,Apartments,74,3,2,2,"Paris, Ile-De-France, 75016 France",1099999
Paris XVIII- Triplex avec Terrasse,Apartments,92,5,3,2,"Paris, Ile-De-France, 75018 France",1090000
Paris XVI - Victor Hugo Foch - perfect 'Pied à terre',Apartments,60,2,1,3,"Paris, Ile-De-France, 75116 France",1060000
Marché Ordener - Villa Montcalm,Apartments,98,5,3,2,"Paris, Ile-De-France, 75018 France",1045000
Apartment,Apartments,56,NA,1,2,"Paris, Ile-De-France, 75007 France",1000000
Paris 1 - Marché Saint Honoré - Profession libérale autorisée,Apartments,90,4,3,NA,"Paris, Ile-De-France, 75001 France",995000
"Village Faidherbe, mixed-use workshop-loft rehabilitated into 4 rooms.",Apartments,88,4,2,2,"Paris, Ile-De-France, 75011 France",995000
Exelmans- Rue de Civry-Rue de Varize. Beautiful family apartment for sale,Apartments,104,NA,3,3,"Paris, Ile-De-France, 75016 France",995000
Apartment,Apartments,64,3,2,2,"Paris, Ile-De-France, 75003 France",990000
Café de Flore-Eglise Saint-Germain,Apartments,61,NA,1,2,"Paris, Ile-De-France, 75006 France",979999
"Saint Thomas d'Aquin, bright and calm pied-à-terre.",Apartments,49,2,1,2,"Paris, Ile-De-France, 75007 France",979999
Duplex,Apartments,72,5,3,4,"Paris, Ile-De-France, 75004 France",959999
APPARTEMENT FAMILIAL ENSOLEILLE - BALCON ET VUE DEGAGEE,Apartments,74,4,3,2,"Paris, Ile-De-France, 75016 France",950000
Paris 8th - Avenue des Champs Elysées,Apartments,57,2,1,2,"Paris, Ile-De-France, 75008 France",945000
Apartment,Apartments,61,3,2,2,"Paris, Ile-De-France, 75002 France",930000
Paris IX Charming apartment with balcony and unobstructed views,Apartments,63,NA,2,3,"Paris, Ile-De-France, 75009 France",914999
Jasmine-Mozart - Beautiful apartment of 90.74 sq.m,Apartments,90,NA,2,1,"Paris, Ile-De-France, 75016 France",900000
Paris 14 / Montparnasse. 4 pièces 3 chambres au 17ème et dernier étage,Apartments,83,NA,2,2,"Paris, Ile-De-France, 75014 France",899000
Paris XI - EXCLUSIVITY - Magnificent renovated apartment with a large terrace,Apartments,63,NA,1,2,"Paris, Ile-De-France, 75011 France",899000
House - Paris 17th - Village des Ternes,Single Family Homes,71,3,2,2,"Paris, Ile-De-France, 75017 France",899000
Paris 11 - Appartement 3 pièces 2 chambres de 88m²,Apartments,88,3,2,2,"Paris, Ile-De-France, 75011 France",899000
Apartment,Apartments,118,4,2,2,"Paris, Ile-De-France, 75018 France",898000
Paris 4th - Charming Three-Room Apartment in the Heart of the Marais,Apartments,69,3,2,1,"Paris, Ile-De-France, 75004 France",894999
Apartment in Paris 11th - Charonne,Apartments,89,5,3,NA,"Paris, Ile-De-France, 75011 France",889999
Magnificent newly renovated loft - Jules Joffrin,Apartments,64,NA,2,2,"Paris, Ile-De-France, 75018 France",885000
Apartment in Paris 15th - Beaugrenelle,Apartments,39,1,1,1,"Paris, Ile-De-France, 75015 France",885000
Charming Haussmannian apartment,Apartments,59,4,2,1,"Paris, Ile-De-France, 75005 France",880000
École Militaire,Apartments,57,NA,1,2,"Paris, Ile-De-France, 75007 France",874000
Apartment,Apartments,89,NA,2,2,"Paris, Ile-De-France, 75009 France",849999
Family flat - Paris 11th - Bastille / Charonne,Apartments,81,4,3,3,"Paris, Ile-De-France, 75011 France",848999
Exclusivité 3 pièces 2 chambres de 67m² carrez et Jardin de 180m²,Apartments,245,3,2,2,"Paris, Ile-De-France, 75020 France",839999
Apartment in Paris 3rd - Marais,Apartments,54,3,2,2,"Paris, Ile-De-France, 75004 France",824999
Apartment in Paris 4rd - Place des Vosges,Apartments,54,3,2,2,"Paris, Ile-De-France, 75004 France",824999
9th and top floor with 180° terrace overlooking Paris,Apartments,83,4,2,2,"Paris, Ile-De-France, 75020 France",799999
Charming 3-room apartment with balcony - Saint Ferdinand - Paris 17th,Apartments,66,3,1,2,"Paris, Ile-De-France, 75017 France",799999
Saint-Germain-des-Prés,Apartments,45,2,NA,2,"Paris, Ile-De-France, 75006 France",797999
Saint-Germain-des-Prés,Apartments,41,2,NA,2,"Paris, Ile-De-France, 75006 France",790000
Appartement 2 chambres Place des Vosges,Apartments,63,3,2,1,"Paris, Ile-De-France, 75004 France",779999
Appartement familial - Paris XVI,Apartments,69,3,2,3,"Paris, Ile-De-France, 75016 France",779999
Apartment,Apartments,51,2,1,1,"Paris, Ile-De-France, 75003 France",778999
3 rooms renovated - Villiers/Batignolles,Apartments,67,3,2,1,"Paris, Ile-De-France, 75017 France",749999
Paris 2nd - Montorgueil - Elegant pied-à-terre renovated in a private mansion,Apartments,31,2,1,1,"Paris, Ile-De-France, 75002 France",749999
Flat with a view over the roofs of Paris - Paris 4th - Saint-Paul,Apartments,54,3,1,2,"Paris, Ile-De-France, 75004 France",749999
Apartment,Apartments,71,3,2,2,"Paris, Ile-De-France, 75015 France",748999
Apartment in Paris 5th - Notre Dame,Apartments,50,2,1,2,"Paris, Ile-De-France, 75005 France",745000
Apartment in Paris 16th - Ranelagh,Apartments,62,2,1,1,"Paris, Ile-De-France, 75016 France",740000
Montmartre : A two-room apartment with spectacular view on the Sacré-Coeur,Apartments,42,NA,1,1,"Paris, Ile-De-France, 75018 France",734999
3-room apartment overlooking Paris,Apartments,71,3,1,1,"Paris, Ile-De-France, 75013 France",720000
Saint-Germain-des-Prés,Duplex Homes,49,NA,1,2,"Paris, Ile-De-France, 75006 France",709999
Paris 3rd – Place des Vosges. Charming studio with balcony.,Apartments,54,1,NA,1,"Paris, Ile-De-France, 75003 France",695000
Apartment,Apartments,35,NA,1,2,"Paris, Ile-De-France, 75009 France",690000
Paris XVIII - Abbesses / Martyrs,Apartments,48,NA,1,1,"Paris, Ile-De-France, 75018 France",659999
Apartment,Apartments,36,2,1,2,"Paris, Ile-De-France, 75002 France",650000
Saint-Germain-des-Prés,Apartments,35,NA,1,2,"Paris, Ile-De-France, 75006 France",650000
Charming 3-room apartment in excellent condition - Legendre/Epinettes,Apartments,54,3,1,1,"Paris, Ile-De-France, 75017 France",645000
Charming 3-room apartment with balcony - marché Poncelet,Apartments,54,3,1,1,"Paris, Ile-De-France, 75017 France",645000
Paris 17th - Les Batinettes,Apartments,53,3,2,2,"Paris, Ile-De-France, 75017 France",634999
Saint-Germain-des-Prés,Apartments,38,NA,1,2,"Paris, Ile-De-France, 75006 France",600000
Luxembourg Gardens - Fully renovated apartment,Apartments,43,2,1,1,"Paris, Ile-De-France, 75005 France",599000
Service spacious rooms to renovate - Rue de Grenelle,Apartments,54,NA,2,1,"Paris, Ile-De-France, 75007 France",589999
Superb renovated apartment in the historic heart of the Marais,Apartments,45,2,NA,1,"Paris, Ile-De-France, 75003 France",589999
Superb renovated apartment in the historic heart of the Marais,Apartments,45,2,NA,1,"Paris, Ile-De-France, 75003 France",589999
Renovated flat with open view - Paris 4th - Marais,Apartments,41,2,1,1,"Paris, Ile-De-France, 75004 France",585000
Paris 8 - Champs-Elysées - Deux pièces - Dernier étage,Apartments,45,2,1,2,"Paris, Ile-De-France, 75008 France",580000
Saint-Germain-des-Prés / rue Cassette,Apartments,37,NA,1,2,"Paris, Ile-De-France, 75006 France",580000
Saint-Germain-des-Prés,Apartments,28,NA,1,2,"Paris, Ile-De-France, 75006 France",560000
Saint-Germain-des-Prés,Apartments,28,NA,1,2,"Paris, Ile-De-France, 75006 France",560000
"PARIS 17, MONCEAU PARK",Apartments,43,NA,1,2,"Paris, Ile-De-France, 75017 France",549999
House,Single Family Homes,40,NA,1,2,"Paris, Ile-De-France, 75003 France",548999
Perfect Pied-à-terre in front of the Jardins du Luxembourg,Apartments,40,NA,1,2,"Paris, Ile-De-France, 75006 France",530000
Paris 4th - Place des Vosges,Apartments,27,2,1,1,"Paris, Ile-De-France, 75004 France",524999
Paris 4th. Vosges/Sévigné. Quiet apartment with a view of a wooded garden,Apartments,36,4,1,2,"Paris, Ile-De-France, 75004 France",521999
Prestigious apartment for sale faubourg Saint Germain in Paris 7,Apartments,44,3,1,2,"Paris, Ile-De-France, 75006 France",448999
FOR SALE - Apartment - 1 bedroom - Lamarck-Caulaincourt - 75018 PARIS,Apartments,38,2,1,2,"Paris, Ile-De-France, 75018 France",425000
Studio/Saint Germain-Odéon,Apartments,22,1,NA,NA,"Paris, Ile-De-France, 75006 France",400000
Apartment,Apartments,21,1,NA,1,"Paris, Ile-De-France, 75003 France",329000
Passy / Muette District - Renovated Studio,,9 m²,,,,"Paris 16th Arrondissement (Passy, sud)","€125,000"
A Campaign Spirit!,,105 m²,5,4,1,"Paris 16th Arrondissement (Passy, sud)","€1,760,000"
Sèvres Babylon / Cheap - Family Apartment,Apartment,101 m²,4,3,1,Paris 7th Arrondissement (Palais-Bourbon),"€1,473,000"
None,,52 m²,2,2,,"Hauts-de-Seine (92), Levallois-Perret","€469,000"
Hôtel Particulier in the Heart of the Golden Triangle,,568 m²,20,10,10,"Val-de-Marne (94), Saint-Maur-des-Fossés","€4,990,000"
La Varenne St Hilaire - Magnificent Family Home with Swimming Pool Near the Marne River,,346 m²,7,5,2,"Val-de-Marne (94), La Varenne-Saint-Hilaire","€2,450,000"
A Campaign Spirit!,,105 m²,5,4,1,Paris 15th Arrondissement (Vaugirard),"€1,760,000"
Paris Viii - Prestigious Apartment Near the Champs Elysee,Apartment,100 m²,5,3,2,Paris 8th Arrondissement (Élysée),"€1,550,000"
"Charming Furnished Apartment of 31 m², Ideal Pied-À-Terre - Paris 8 - Avenue De Friedland",Studio,31 m²,2,1,1,Paris 8th Arrondissement (Élysée),"€435,000"
Favorite Apartment,Apartment,30 m²,1,1,,Paris 9th Arrondissement (Opéra),"€418,000"
Paris 15th - Rue De Vaugirard - 2P,,18 m²,1,1,,Paris 15th Arrondissement (Vaugirard),"€184,000"
Trocadero / Duplex Completely Renovated in the Quiet of a Cul-De-Sac,,84 m²,2,2,,"Paris 16th Arrondissement (Passy, sud)","€1,950,000"
Paris Vi - Saint-Germain - Duplex with Terrace,,43 m²,2,1,1,Paris 6th Arrondissement (Luxembourg),"€795,000"
Paris 18th - in the Heart of Montmartre. - Beautiful 2 Room Apartment of 29th Century - on Open Cou,Apartment,29 m²,1,1,,Paris 18th Arrondissement (Butte-Montmartre),"€298,000"
Beautiful Property with Swimming Pool in the Heart of Garches,,507 m²,8,6,2,"Hauts-de-Seine (92), Garches","€3,850,000"
Apartment Parc Monceau,Apartment,251 m²,7,4,3,Paris 17th Arrondissement (Batignolles-Monceau),"€3,200,000"
Paris 3rd - 2-Room Apartment,Apartment,37 m²,2,1,1,Paris 3rd Arrondissement (Temple),"€490,000"
5 Rooms Ideal Investor - Bare Property,,78 m²,4,4,,Paris 19th Arrondissement (Buttes-Chaumont),"€608,000"
3 Rooms Bare Property 7 Years,,67 m²,2,2,,Paris 14th Arrondissement (Observatoire),"€639,000"
3 Rooms Bare Owned 23 Years - 40% Discount,,61 m²,2,2,,"Hauts-de-Seine (92), Neuilly-sur-Seine","€522,100"
4 Rooms Bare Owned 8 Years - 22% Discount,,90 m²,3,3,,"Yvelines (78), Viroflay","€432,000"
Faubourg du Roule Family Apartment,Apartment,148 m²,4,3,1,Paris 8th Arrondissement (Élysée),"€2,062,000"
Paris 8th - Montaigne Triangle D'or - High Floor Apartment with Balcony,Apartment,193 m²,6,4,2,Paris 8th Arrondissement (Élysée),"€8,900,000"
75018 - Passage Lepic - Renovated Studio - Ground Floor,,17 m²,,,,Paris 18th Arrondissement (Butte-Montmartre),"€223,000"
Paris 15E - Rue De Vaugirard 4P,,60 m²,3,2,1,Paris 15th Arrondissement (Vaugirard),"€575,000"
"2 Bed Apartment for Sale in Paris 16th Arrondissement (Passy, Sud)",Apartment,75 m²,2,2,,"Paris 16th Arrondissement (Passy, sud)","€812,000"
1 Room(s) Apartment for Sale in Paris 4E Arrondissement,Studio,22 m²,2,1,1,Paris 4th Arrondissement (Hôtel-de-Ville),"€376,190"
1 Bed Apartment for Sale in Paris 7th Arrondissement (Palais-Bourbon),Apartment,24 m²,1,1,,Paris 7th Arrondissement (Palais-Bourbon),"€275,000"
1 Bed Apartment for Sale in Meudon,Apartment,44 m²,1,1,,"Hauts-de-Seine (92), Meudon","€187,200"
Garches - Apartment with Terrace,Apartment,78 m²,3,2,1,"Hauts-de-Seine (92), Garches","€575,000"
"Stunning 2-Bedroom Apartment with Panoramic Views on all Sides, Located in the Centre of Courbevoie on the Outskirts of …",Apartment,74 m²,3,2,1,"Hauts-de-Seine (92), Courbevoie","€575,000"
4 Room(s) House for Sale in Fontenay-Sous-Bois,,83 m²,3,2,1,"Val-de-Marne (94), Fontenay-sous-Bois","€679,500"
Paris Xviii la Fourche - 2-Room Apartment Refurbished,Apartment,48 m²,1,1,,Paris 18th Arrondissement (Butte-Montmartre),"€433,000"
Lourmel - Exhibition Center. Top Floor - Terraces,,137 m²,4,3,1,Paris 15th Arrondissement (Vaugirard),"€1,875,000"
Paris 7th - Turnkey Pied-À-Terre - 2 Rooms,,32 m²,,,,Paris 7th Arrondissement (Palais-Bourbon),"€545,000"
Lourmel - Exhibition Center. Top Floor - Terraces,,137 m²,4,3,1,Paris 15th Arrondissement (Vaugirard),"€1,875,000"
Paris 16 Trocadéro: Top Floor Terrace,,180 m²,2,2,,"Paris 16th Arrondissement (Passy, sud)","€5,750,000"
75018 - Passage Lepic - Renovated 2P - Ground Floor,,27 m²,1,1,,Paris 18th Arrondissement (Butte-Montmartre),"€330,000"
Paris 7th - 5 Rooms with Parking Lot,,124 m²,3,2,1,Paris 7th Arrondissement (Palais-Bourbon),"€1,995,000"
4 Room(s) Apartment for Sale in Paris 11E Arrondissement,Apartment,100 m²,4,2,2,Paris 11th Arrondissement (Popincourt),"€1,100,000"
Garches - Apartment with Terrace,Apartment,45 m²,1,1,,"Hauts-de-Seine (92), Garches","€300,000"
2/3 Bedrooms 16th Longchamp,,157 m²,2,2,,"Paris 16th Arrondissement (Passy, sud)","€2,100,000"
Exceptional 95m² Apartment between the Champs-Élysées and the Faubourg Saint-Honoré - Paris 8th,Apartment,94 m²,3,2,1,Paris 8th Arrondissement (Élysée),"€1,560,000"
Loft in the Heart of the Marais,Studio,69 m²,1,1,,Paris 4th Arrondissement (Hôtel-de-Ville),"€955,000"
Exclusive Apartment Near the Eiffel Tower,Apartment,146 m²,6,3,3,Paris 7th Arrondissement (Palais-Bourbon),"€4,850,000"
Paris Ii - 2 Bedroom Apartment,Apartment,90 m²,2,1,1,Paris 2nd Arrondissement (Bourse),"€1,768,000"
Renovated Apartment - Exceptional Location,Apartment,76 m²,4,3,1,Paris 7th Arrondissement (Palais-Bourbon),"€1,236,000"
Montmartre/Impasse du Tertre,,400 m²,5,4,1,Paris 18th Arrondissement (Butte-Montmartre),"€6,135,000"
Exceptional - Bac - Solferino,,350 m²,4,3,1,Paris 7th Arrondissement (Palais-Bourbon),"€9,980,000"
Exclusivity - Paris Xvi - Oecd - Exceptional Duplex with Garden,,548 m²,8,5,3,"Paris 16th Arrondissement (Passy, sud)","€ 1,18,45,000"
Paris 18th - Charming Top-Floor Duplex,,115 m²,5,4,1,Paris 18th Arrondissement (Butte-Montmartre),"€ 11,90,000"
1 Room(s) Apartment for Sale in Paris 16E Arrondissement,Apartment,28 m²,2,1,1,"Paris 16th Arrondissement (Passy, sud)","€ 4,80,000"
Arc De Triomphe - Exceptional Apartment,Apartment,250 m²,2,2,,Paris 8th Arrondissement (Élysée),"€ 1,50,00,000"
2 Room Apartment with Balcony in the Heart of the City,Apartment,43 m²,1,1,,"Hauts-de-Seine (92), Garches","€ 2,99,000"
Paris 1St - Apartement Close to the Place Vendome,,72 m²,2,2,,Paris 1st Arrondissement (Louvre),"€ 13,95,000"
5 Room(s) Apartment for Sale in Boulogne-Billancourt,Apartment,100 m²,5,3,2,"Hauts-de-Seine (92), Boulogne-Billancourt","€ 7,00,000"
Paris 7th - Baccalaureate/University - Studio,,13 m²,,,,Paris 7th Arrondissement (Palais-Bourbon),"€ 2,24,000"
1 Room(s) Apartment for Sale in Paris 4E Arrondissement,Apartment,12 m²,2,1,1,Paris 4th Arrondissement (Hôtel-de-Ville),"€ 1,85,000"
Reception Apartment Paris Viii Triangle D'or / Place François 1er,Apartment,181 m²,6,5,1,Paris 8th Arrondissement (Élysée),"€ 33,18,000"
Courtyard House of 17m²,,72 m²,2,2,,"Hauts-de-Seine (92), Rueil-Malmaison","€ 5,90,000"
4 Room(s) Apartment for Sale in Paris 13E Arrondissement,Apartment,93 m²,5,3,2,Paris 13th Arrondissement (Gobelins),"€ 10,70,000"
3 Room(s) Apartment for Sale in Paris,Apartment,74 m²,3,2,1,Paris 3rd Arrondissement (Temple),"€ 11,95,000"
"Apartment 2 Room(s), Paris 16TH District",Apartment,72 m²,2,1,1,"Paris 16th Arrondissement (Passy, sud)","€ 9,98,000"
3 Room(s) Apartment for Sale in Paris,Apartment,92 m²,4,2,2,"Paris 16th Arrondissement (Passy, sud)","€ 12,98,000"
8 Pieces Haussmanien,,192 m²,5,5,,Paris 10th Arrondissement (Enclos-St-Laurent / Entrepôt),"€ 20,90,000"
Paris 1st - Large Studio with Mezzanine - 2 Balconies,,31 m²,,,,Paris 1st Arrondissement (Louvre),"€ 4,99,000"
2 Room Apartment - Balcony - Garage,Apartment,46 m²,1,1,,"Seine-Saint-Denis (93), Neuilly-sur-Marne","€ 1,54,000"
Paris 6th - Strong Potential at the Gates of the Luxembourg Gardens,,118 m²,5,4,1,Paris 6th Arrondissement (Luxembourg),"€ 16,95,000"
5 Rooms 9% Yield in Paris 13,,86 m²,4,4,,Paris 13th Arrondissement (Gobelins),"€ 5,90,000"
Paris 8 Miromesnil / Monceau - Luxurious Apartment,Apartment,164 m²,4,3,1,Paris 8th Arrondissement (Élysée),"€ 26,90,000"
4 Rooms at the Foot of the Guy Môquet Metro Station,,100 m²,3,3,,Paris 17th Arrondissement (Batignolles-Monceau),"€ 2,50,000"
Paris Xvi - Passy - 2 Rooms with Turnkey Balcony,,54 m²,1,1,,"Paris 16th Arrondissement (Passy, sud)","€ 7,66,000"
House of Character with 138 m² of Garden in Paris 20th - 5 Minutes from Metro Gambetta,,112 m²,4,3,1,Paris 20th Arrondissement (Ménilmontant),"€ 13,65,000"
Paris V - 3 Room Apartment,Apartment,65 m²,3,2,1,Paris 5th Arrondissement (Panthéon),"€ 8,95,000"
Paris Xviii - Junot - 2 Room Apartment - Top Floor,Apartment,52 m²,1,1,,Paris 18th Arrondissement (Butte-Montmartre),"€ 8,90,000"
Rue Augereau - House in Co-Owned Residence,,103 m²,4,3,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 18,60,000"
Saint Francis Xavier - Beautiful Classic,,132 m²,5,4,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 19,90,000"
"Paris 17th - 3-Rooms Apartment, 2 Bedrooms, Terrace",Apartment,76 m²,3,2,1,Paris 17th Arrondissement (Batignolles-Monceau),"€ 8,30,000"
Paris Xvii - Parc Monceau - Private Mansion,,500 m²,7,5,2,Paris 17th Arrondissement (Batignolles-Monceau),"€ 59,50,000"
For Sale Paris 8th,,121 m²,3,2,1,Paris 8th Arrondissement (Élysée),"€ 18,69,000"
"Villa Scheffer. The Countryside, 5 Minutes from the Trocadero",,260 m²,8,5,3,"Paris 16th Arrondissement (Passy, nord)","€ 54,50,000"
3/4 Bedroom Family Apartment - Profession,Apartment,180 m²,5,4,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 22,95,000"
Paris 7th District - Eiffel Tower - Champs De Mars,Studio,126 m²,1,1,,Paris 7th Arrondissement (Palais-Bourbon),"€ 19,95,000"
Paris 8th District - Champs Elysees - Upper Level - Wraparound Balcony - 2 Bedrooms,,100 m²,3,2,1,Paris 8th Arrondissement (Élysée),"€ 17,00,000"
Saint Francis Xavier,,75 m²,2,1,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 13,86,000"
Paris 8Th - Champs-Elysees/Roosevelt,,70 m²,2,1,1,Paris 8th Arrondissement (Élysée),"€ 9,75,000"
Paris Vii - Big Stone,,142 m²,4,3,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 30,20,000"
Family and Reception Apartment in a Quiet Area,Apartment,179 m²,5,4,1,Paris 9th Arrondissement (Opéra),"€ 19,50,000"
Big Stone - Quai D'orsay,,163 m²,5,4,1,Paris 7th Arrondissement (Palais-Bourbon),"€ 22,50,000"
3 Bedrooms Appartment - Triangle D'or,,133 m²,4,3,1,Paris 8th Arrondissement (Élysée),"€ 19,90,000"
Coup De Coeur - House with Garden-Terrace and Double Parking,,183 m²,4,4,,Paris 11th Arrondissement (Popincourt),"€ 19,50,000"
Edgar Quinet / Vavin - Rue Delambre - 2P,,37 m²,1,1,,Paris 14th Arrondissement (Observatoire),"€ 5,10,000"
"Coup De Coeur - 6 Family Rooms in Good Condition - Elevator, Cellar and Parking -",,161 m²,4,4,,Paris 14th Arrondissement (Observatoire),"€ 18,90,000"
Gambetta/Père Lachaise - 3 Rooms - 4th Floor - not Overlooked,,52 m²,2,2,,Paris 20th Arrondissement (Ménilmontant),"€ 5,30,000"
5 Room Apartment - Paris Xvi Chaillot,Apartment,125 m²,3,2,1,"Paris 16th Arrondissement (Passy, sud)","€ 15,35,000"
Paris Xiv - Villa Seurat - Apartment 3 Rooms,Apartment,70 m²,3,2,1,Paris 14th Arrondissement (Observatoire),"€ 8,75,000"
Contemporary Left Bank Hotel Particulier.,,912 m²,10,5,5,Paris 14th Arrondissement (Observatoire),"€ 64,50,000"
Paris Xv Nord Dupleix: 2-Room Apartment,Apartment,46 m²,1,1,,Paris 15th Arrondissement (Vaugirard),"€ 5,50,000"
