price(euros),energy_class,climate_class,subtype,district,bathroom_lavatory_counts,is_rent,rent_or_sale,floor_num,rooms_num,bedrooms_num,area(m^2)
1650,D,D,Apartment,Paris 5th (75005),1,True,rent,2,2,1,39.74
1490,D,E,Apartment,Paris 16th (75016),2,True,rent,4,2,2,41.6
1150,F,F,Apartment,Paris 5th (75005),2,True,rent,5,2,2,23.0
5500,C,E,Apartment,Paris 8th (75008),3,True,rent,4,4,3,132.51
4104,C,C,Apartment,Paris 16th (75016),3,True,rent,1,5,3,140.85
7200,D,F,Apartment,Paris 7th (75007),4,False,sale,2,6,4,197.0
980,F,G,Apartment,Paris 5th (75005),1,True,rent,3,1,1,27.38
2300,D,E,Apartment,Paris 16th (75016),2,True,rent,4,3,2,77.7
1900,D,E,Apartment,Paris 1st (75001),2,True,rent,1,2,2,52.52
1384,D,E,Apartment,Paris 16th (75016),2,True,rent,5,2,2,51.0
1042,E,B,Apartment,Paris 5th (75005),1,True,rent,4,2,1,33.78
1107,C,C,Apartment,Paris 16th (75016),1,True,rent,7,1,1,32.1
4492,D,E,Apartment,Paris 16th (75016),3,True,rent,7,5,3,156.0
2620,D,C,Apartment,Paris 5th (75005),3,True,rent,3,4,3,88.2
2500,D,E,Apartment,Paris 3rd (75003),1,True,rent,2,2,1,64.01
3399,D,E,Apartment,Paris 8th (75008),3,False,sale,2,6,3,134.9
3400,D,E,Apartment,Paris 16th (75016),3,True,rent,2,4,3,121.0
2230,D,E,Apartment,Paris 16th (75016),2,True,rent,4,3,2,69.6
1685,D,A,Apartment,Paris 6th (75006),1,False,sale,3,2,1,46.03
2800,D,E,Apartment,Paris 8th (75008),2,True,rent,1,3,2,80.0
5250,E,F,Apartment,Paris 6th (75006),0,False,sale,2,5,0,125.0
2000,F,D,Apartment,Paris 8th (75008),2,False,sale,5,2,2,56.0
3900,D,E,Apartment,Paris 16th (75016),4,False,sale,2,5,4,137.0
6225,D,E,Apartment,Paris 8th (75008),5,True,rent,4,6,5,227.0
4013,C,D,Apartment,Paris 16th (75016),3,True,rent,1,3,3,140.8
3500,D,E,Apartment,Paris 16th (75016),3,True,rent,1,6,3,130.0
3350,D,E,Apartment,Paris 7th (75007),2,True,rent,3,3,2,80.0
4850,B,C,House,Paris 12th (75012),6,True,rent,1,7,6,229.0
2162,D,E,Apartment,Paris 1st (75001),1,True,rent,6,4,1,75.3
2590,F,E,Apartment,Paris 16th (75016),3,True,rent,6,3,3,73.0
