id,Cost,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,cleanliness_rating,guest_satisfaction,bedrooms,dist,metro_dist,lng,lat
862,1124.28930934849,Entire home/apt,False,False,4,True,1,10,97,3,1.469,0.19,2.355,48.843
863,359.073539006431,Entire home/apt,False,False,3,False,0,8,81,1,0.562,0.327,2.358,48.86
864,625.873799981359,Entire home/apt,False,False,2,True,0,9,94,1,0.713,0.3,2.362,48.858
865,579.504147637244,Entire home/apt,False,False,2,True,1,10,99,1,1.121,0.078,2.368,48.856
866,863.547394910988,Entire home/apt,False,False,3,False,0,10,98,1,0.475,0.222,2.355,48.852
867,457.638176903718,Entire home/apt,False,False,4,False,0,9,88,2,0.828,0.246,2.364,48.856
868,693.214651878087,Entire home/apt,False,False,5,True,0,9,94,2,1.151,0.143,2.367,48.853
869,473.017056575636,Entire home/apt,False,False,2,False,0,10,94,0,0.072,0.101,2.353,48.857
870,347.888899245036,Entire home/apt,False,False,3,False,0,10,97,1,2.107,0.263,2.355,48.838
871,744.011557461086,Entire home/apt,False,False,6,False,0,10,97,3,0.909,0.386,2.362,48.862
872,805.527076148755,Entire home/apt,False,False,2,False,0,10,97,1,0.531,0.148,2.356,48.852
873,227.187995153322,Entire home/apt,False,False,2,False,0,9,95,0,1.753,0.063,2.351,48.841
874,308.742660080156,Entire home/apt,False,False,2,False,0,9,80,1,1.859,0.276,2.362,48.841
875,408.472364619256,Entire home/apt,False,False,4,False,0,9,82,1,1.158,0.272,2.365,48.85
876,336.005219498555,Entire home/apt,False,False,4,False,1,10,95,0,1.313,0.492,2.343,48.847
877,643.116786280175,Entire home/apt,False,False,5,False,0,10,94,2,0.988,0.094,2.352,48.848
878,637.291453071115,Entire home/apt,False,False,4,True,0,10,95,2,1.065,0.16,2.353,48.847
879,361.636685618417,Entire home/apt,False,False,4,False,0,9,96,1,0.569,0.234,2.355,48.852
880,475.347189859259,Entire home/apt,False,False,4,False,0,8,88,1,1.245,0.132,2.364,48.865
881,376.549538633609,Private room,False,True,2,False,0,10,95,1,0.735,0.262,2.358,48.851
