Proprety_name,Year_Built,Property_Type,Tax (dollars/year),Total_room,Bedroom,Bathroom,Price (euros),Prop_size (m^2)
Apartment,1800.0,apartment,2601.0,2.0,1.0,1.0,778999.0,51
3 rooms renovated - Villiers/Batignolles,1990.0,apartment,1522.0,3.0,2.0,1.0,749999.0,67
Paris 2nd - Montorgueil - Elegant pied-Ã -terre renovated in a private mansion,1770.0,apartment,674.0,2.0,1.0,1.0,749999.0,31
Flat with a view over the roofs of Paris - Paris 4th - Saint-Paul,1875.0,apartment,2601.0,3.0,1.0,2.0,749999.0,54
Apartment,1920.0,apartment,1402.0,3.0,2.0,2.0,748999.0,71
Apartment in Paris 5th - Notre Dame,1763.0,apartment,2601.0,2.0,1.0,2.0,745000.0,50
Apartment in Paris 16th - Ranelagh,1900.0,apartment,2601.0,2.0,1.0,1.0,740000.0,62
Montmartre : A two-room apartment with spectacular view on the SacrÃ©-Coeur,1880.0,apartment,933.0,5.0,1.0,1.0,734999.0,42
3-room apartment overlooking Paris,1972.0,apartment,2601.0,3.0,1.0,1.0,720000.0,71
Paris 3rd - Place des Vosges. Charming studio with balcony.,1830.0,apartment,492.0,1.0,3.0,1.0,695000.0,54
Paris XVIII - Abbesses / Martyrs,1880.0,apartment,796.0,5.0,1.0,1.0,659999.0,48
Charming 3-room apartment in excellent condition - Legendre/Epinettes,1880.0,apartment,2601.0,3.0,1.0,1.0,645000.0,54
Charming 3-room apartment with balcony - marchÃ© Poncelet,1850.0,apartment,1323.0,3.0,1.0,1.0,645000.0,54
Service spacious rooms to renovate - Rue de Grenelle,1900.0,apartment,2601.0,5.0,2.0,1.0,589999.0,54
Renovated flat with open view - Paris 4th - Marais,1860.0,apartment,465.0,2.0,1.0,1.0,585000.0,41
Saint-Germain-des-PrÃ©s,1800.0,apartment,2601.0,5.0,1.0,2.0,560000.0,28
Saint-Germain-des-PrÃ©s,1800.0,apartment,641.0,5.0,1.0,2.0,560000.0,28
"PARIS 17, MONCEAU PARK",1900.0,apartment,2601.0,5.0,1.0,2.0,549999.0,43
House,1880.0,Single Family Homes,635.0,5.0,1.0,2.0,548999.0,40
Perfect Pied-Ã -terre in front of the Jardins du Luxembourg,1964.0,apartment,1274.0,5.0,1.0,2.0,530000.0,40
Apartment,1800.0,apartment,2601.0,1.0,3.0,1.0,329000.0,21
Paris 16th District - An ideal pied a terre,1950.0,apartment,2601.0,5.0,1.0,1.0,690000.0,54
Paris 8th District - A perfect pied a terre,1830.0,apartment,2601.0,5.0,1.0,1.0,690000.0,39
Paris 1st District - An ideal pied a terre,1810.0,apartment,2601.0,5.0,1.0,1.0,690000.0,33
Paris 16th District - An ideal pied a terre,1910.0,apartment,2601.0,5.0,1.0,1.0,695000.0,49
Paris 7th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,2.0,1.0,720000.0,47
Paris 7th District - An ideal pied a terre,1989.0,apartment,2601.0,5.0,1.0,1.0,724999.0,48
Paris 14th District - An ideal pied a terre,1971.0,apartment,2601.0,5.0,1.0,0.0,729999.0,60
PARIS 5th district on Quai Saint Michel,1700.0,apartment,2601.0,5.0,1.0,1.0,745000.0,51
Paris 7th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,1.0,1.0,760000.0,51
Paris 16th District - A bright 2-bed apartment,1962.0,apartment,2601.0,5.0,2.0,1.0,790000.0,66
Paris 6th District - A delightful pied a terre,1900.0,apartment,2601.0,5.0,1.0,1.0,790000.0,53
Paris 15th District - An ideal pied a terre,1929.0,apartment,2601.0,5.0,2.0,1.0,797999.0,47
Paris 15th District - An ideal pied a terre,1995.0,apartment,2601.0,5.0,2.0,1.0,810000.0,72
Paris 16th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,1.0,1.0,824999.0,51
Paris 6th District - An ideal pied a terre,1610.0,apartment,2601.0,5.0,1.0,1.0,824999.0,50
Paris 6th District - A superb pied a terre with a garden,1930.0,apartment,2601.0,5.0,1.0,1.0,826999.0,31
Paris 17th District - A bright 3-room apartment,1955.0,apartment,2601.0,5.0,2.0,1.0,830000.0,67
Paris 6th District - A renovated pied a terre,1850.0,apartment,2601.0,5.0,1.0,1.0,836000.0,43
Paris 6th District - An ideal pied a terre,1998.0,apartment,2601.0,5.0,1.0,1.0,844999.0,43
Paris 16th District - A 2-bed apartment with two terraces,1950.0,apartment,2601.0,5.0,2.0,1.0,849999.0,73
Paris 18th District - An ideal pied a terre,1907.0,apartment,2601.0,5.0,2.0,1.0,849999.0,62
Paris 7th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,1.0,1.0,864999.0,63
Paris 7th District - An ideal pied a terre,1904.0,apartment,2601.0,5.0,1.0,1.0,869999.0,77
Paris 12th District - An elegant pied a terre,1900.0,apartment,2601.0,5.0,1.0,1.0,869999.0,92
Paris 6th District - An ideal pied a terre,1730.0,apartment,2601.0,5.0,1.0,1.0,875000.0,44
Paris 9th District - An ideal pied a terre,1880.0,apartment,2601.0,5.0,2.0,1.0,880000.0,66
Paris 9th District - An ideal pied a terre,1840.0,apartment,2601.0,5.0,2.0,1.0,889999.0,67
Paris 6th District Top floor with a terrace.,1730.0,apartment,2601.0,5.0,1.0,1.0,892500.0,45
Paris 4th District - A charming pied a terre,1750.0,apartment,2601.0,5.0,1.0,1.0,892999.0,62
Paris 4th District - An ideal pied a terre,1828.0,apartment,2601.0,5.0,2.0,1.0,894999.0,59
Paris 9th District - An ideal pied a terre,1998.0,apartment,2601.0,5.0,2.0,1.0,914999.0,67
Paris 16th District - A 2-bed apartment in mint condition,1989.0,apartment,2601.0,5.0,2.0,1.0,928000.0,86
Paris 17th District - An atypical 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,2.0,930000.0,73
Paris 6th District - An ideal pied a terre,1930.0,apartment,2601.0,5.0,1.0,1.0,939999.0,60
"Paris,ÃŽle-de-France,France",1970.0,apartment,2601.0,5.0,2.0,1.0,939999.0,62
Paris 20th District - A bright and peaceful 2-bed apartment,1970.0,apartment,2601.0,5.0,2.0,1.0,945000.0,74
Paris 16th District - A 3-bed family apartment,1961.0,apartment,2601.0,5.0,3.0,2.0,945000.0,89
Paris 16th District - An elegant pied a terre,1904.0,apartment,2601.0,5.0,2.0,1.0,945000.0,89
Paris 16th District - A sunny 3-bed apartment,1959.0,apartment,2601.0,5.0,3.0,1.0,950000.0,73
Paris 6th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,1.0,1.0,950000.0,50
Paris 17th District - A bright 2-bed apartment,1970.0,apartment,2601.0,5.0,2.0,1.0,950000.0,77
Paris 16th District - A delightful pied a terre,1890.0,apartment,2601.0,5.0,1.0,1.0,950000.0,53
Paris 9th District - An ideal pied a terre,1998.0,apartment,2601.0,5.0,2.0,1.0,970000.0,76
"Paris 6th District - Saint-Germain-des-PrÃ©s, one bedroom flat in perfect condition.",1800.0,apartment,2601.0,5.0,1.0,1.0,975000.0,43
Paris 15th District - A 2-bed apartment commanding panoramic views,1970.0,apartment,2601.0,5.0,2.0,1.0,979999.0,97
Paris 16th District - An ideal pied a terre,2001.0,apartment,2601.0,5.0,2.0,0.0,979999.0,73
Paris 7th District - An ideal pied a terre,1863.0,apartment,2601.0,5.0,1.0,1.0,979999.0,48
Paris 4th District - An ideal pied a terre in a prime location,1800.0,apartment,2601.0,5.0,1.0,1.0,990000.0,62
Paris 16th District - A 3-bd apartment,1979.0,apartment,2601.0,5.0,3.0,2.0,990000.0,99
Paris 9th District - A 2/3 bed apartment enjoying open views,1885.0,apartment,2601.0,5.0,2.0,1.0,990000.0,88
Paris 17th District - A remarkable pied a terre,1890.0,apartment,2601.0,5.0,1.0,1.0,995000.0,69
Paris 1st District - An ideal pied a terre,1750.0,apartment,2601.0,5.0,2.0,2.0,995000.0,68
Paris 1st District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,1.0,1.0,997000.0,65
Paris 7th District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,1.0,1.0,997499.0,45
Paris 7th District - An ideal pied a terre,1989.0,apartment,2601.0,5.0,1.0,1.0,1000000.0,56
Paris 3rd District - A 67 sqm apartment to revamp,1750.0,apartment,2601.0,5.0,1.0,1.0,1007999.0,64
Paris 4th District - Two apartments with great potential,1650.0,apartment,2601.0,5.0,2.0,3.0,1020000.0,73
Paris 18th District - A 2-bed apartment enjoying an open view,1954.0,apartment,2601.0,5.0,2.0,1.0,1020000.0,76
Paris 5th District - A 2/3 bed apartment,1900.0,apartment,2601.0,5.0,2.0,2.0,1024999.0,77
Paris 5th District - A renovated 2-bed apartment,1890.0,apartment,2601.0,5.0,2.0,0.0,1035000.0,62
Paris 16th District - An ideal pied a terre,1959.0,apartment,2601.0,5.0,1.0,1.0,1040000.0,78
"Paris,ÃŽle-de-France,France",1995.0,apartment,2601.0,5.0,2.0,2.0,1040000.0,70
Paris 13th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,2.0,1.0,1049999.0,93
Paris 4th District - A bright and elegant pied a terre,1880.0,apartment,2601.0,5.0,1.0,1.0,1049999.0,72
Paris 16th District - An ideal pied a terre,1880.0,apartment,2601.0,5.0,2.0,0.0,1049999.0,62
Paris 7th District - A renovated pied a terre,1897.0,apartment,2601.0,5.0,1.0,1.0,1049999.0,46
Paris 4th District - An ideal pied a terre,1785.0,apartment,2601.0,5.0,2.0,2.0,1049999.0,65
Paris 7th District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,2.0,1.0,1060000.0,74
Paris XVIIe - MarchÃ© Lebon.,1911.0,apartment,2601.0,5.0,2.0,2.0,1069999.0,96
Paris 6th District - An ideal pied a terre,1891.0,apartment,2601.0,5.0,2.0,1.0,1079999.0,62
Paris 16th District - A pied a terre with a terrace,2004.0,apartment,2601.0,5.0,1.0,1.0,1090000.0,70
Paris 4th District - A superb pied a terre,1637.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,58
Paris 7th District - An ideal pied a terre,1905.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,56
Paris 7th District - An ideal pied a terre,1920.0,apartment,2601.0,5.0,2.0,1.0,1099999.0,58
Paris 4th District - A superb pied a terre,1637.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,58
Paris 7th District - An ideal pied a terre,1905.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,56
Paris 6th District - An ideal pied a terre,1930.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,45
Paris 17th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,1.0,1.0,1099999.0,61
Paris 7th District - An ideal pied a terre,1920.0,apartment,2601.0,5.0,2.0,1.0,1099999.0,58
Paris 16th District - A 3-bed dual-aspect apartment,1970.0,apartment,2601.0,5.0,3.0,2.0,1099999.0,116
Paris 6th District - An ideal pied Ã terre in Saint-Germain-des-PrÃ©s,1994.0,apartment,2601.0,5.0,1.0,0.0,1119999.0,62
Paris 7th District - A 2-bed apartment with balconies,1964.0,apartment,2601.0,5.0,2.0,1.0,1124999.0,74
Paris 15th District - An ideal pied a terre,1995.0,apartment,2601.0,5.0,3.0,1.0,1130000.0,104
Paris 16th District - A 3-bed family apartment,1900.0,apartment,2601.0,5.0,3.0,2.0,1139999.0,115
Paris 18th District - Great potential in a prime location,1955.0,apartment,2601.0,5.0,2.0,1.0,1144999.0,81
Paris 16th District - A perfect pied a terre,1934.0,apartment,2601.0,5.0,1.0,0.0,1150000.0,33
Paris 12th District - A bright and peaceful 3-bed apartment,1896.0,apartment,2601.0,5.0,3.0,1.0,1150000.0,97
Paris 1st District - An ideal pied a terre,1700.0,apartment,2601.0,5.0,2.0,2.0,1150000.0,82
Paris 4th District - A delightful pied a terre,1700.0,apartment,2601.0,5.0,2.0,2.0,1180000.0,58
PParis 4th District - A delightful pied a terre oozing with charm,1650.0,apartment,2601.0,5.0,1.0,1.0,1180000.0,65
Paris 17th District - A sunny 2/3 bed apartment,1990.0,apartment,2601.0,5.0,3.0,2.0,1180000.0,109
Paris 13th District - A 3-bed apartment with a balcony,1980.0,apartment,2601.0,5.0,3.0,0.0,1180000.0,100
Paris 4th District - An ideal pied a terre,1880.0,apartment,2601.0,5.0,1.0,1.0,1189999.0,92
Paris 6th District - A perfect pied a terre,1800.0,apartment,2601.0,5.0,1.0,1.0,1189999.0,35
Paris 4th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,2.0,2.0,1239999.0,60
Paris 16th District - A 2/3 bed apartment,1880.0,apartment,2601.0,5.0,2.0,0.0,1249000.0,86
"Paris,ÃŽle-de-France,France",1920.0,apartment,2601.0,5.0,3.0,2.0,1249000.0,98
Paris 7th District - An ideal pied a terre,1942.0,apartment,2601.0,5.0,1.0,1.0,1250000.0,74
Paris 5th District - A peaceful 3-bed apartment,1900.0,apartment,2601.0,5.0,3.0,1.0,1250000.0,93
Paris 16th District - A 5-bed apartment with terrace/balconies,2009.0,apartment,2601.0,5.0,3.0,3.0,1250000.0,111
Paris 16th District - An ideal pied a terre,1987.0,apartment,2601.0,5.0,2.0,2.0,1259999.0,84
Paris 3rd District - A 4-room apartment to renovate,1850.0,apartment,2601.0,5.0,2.0,1.0,1259999.0,88
Paris 16th District - A 4-bed apartment,1955.0,apartment,2601.0,5.0,4.0,2.0,1279999.0,122
Paris 9th District - A recently renovated 4-room apartment,1900.0,apartment,2601.0,5.0,2.0,2.0,1295000.0,97
Paris 18th District - An ideal pied a terre,1910.0,apartment,2601.0,5.0,2.0,2.0,1295000.0,63
Paris 9th District - A 3-bed artistâ€™s studio,1900.0,apartment,2601.0,5.0,2.0,1.0,1299999.0,79
Paris 13th District - A two-bed apartment with a terrace,1980.0,apartment,2601.0,5.0,3.0,1.0,1299999.0,78
Paris 9th District - An elegant 3-bed apartment with a terrace,1850.0,apartment,2601.0,5.0,3.0,1.0,1340000.0,100
Paris 16th District - A 2-bed apartment with a balcony,1970.0,apartment,2601.0,5.0,2.0,2.0,1340000.0,89
Paris 13th District - A bright and peaceful 2/3 bed apartment with a balcony,1975.0,apartment,2601.0,5.0,3.0,2.0,1349999.0,95
Paris 17th District - An elegant 3-bed apartment,1880.0,apartment,2601.0,5.0,3.0,1.0,1349999.0,112
Paris 3rd District - An ideal pied a terre,1650.0,apartment,2601.0,5.0,1.0,1.0,1349999.0,97
Paris 15th District - A peaceful pied a terre,1913.0,apartment,2601.0,5.0,2.0,1.0,1349999.0,80
PARIS IIe - Rue du Mail,1436.0,apartment,2601.0,5.0,2.0,2.0,1349999.0,93
Paris 16th District - An ideal pied a terre in an iconic building,1894.0,apartment,2601.0,5.0,1.0,1.0,1380000.0,79
Paris 6th District - A perfect pied a terre,1900.0,apartment,2601.0,5.0,2.0,1.0,1380000.0,72
Paris 17th District - A 3-bed loft-style apartment,1930.0,apartment,2601.0,5.0,3.0,2.0,1390000.0,113
Paris 4th District - An ideal pied a terre,1800.0,apartment,2601.0,5.0,2.0,2.0,1390000.0,81
Paris 7th District - A bright 3-bed apartment,1900.0,apartment,2601.0,5.0,3.0,1.0,1390000.0,90
Paris 7th District - A 3-bed apartment with a balcony,1964.0,apartment,2601.0,5.0,3.0,2.0,1390000.0,101
Paris 4th District - A delightful pied a terre oozing with period charm,1800.0,apartment,2601.0,5.0,2.0,1.0,1394999.0,94
Paris 4th District - A 4-bed apartment oozing with period charm,1756.0,apartment,2601.0,5.0,4.0,2.0,1394999.0,83
"Paris,ÃŽle-de-France,France",1965.0,apartment,2601.0,5.0,2.0,1.0,1399999.0,82
Paris 15th District - A bright 3/4 bed apartment,1980.0,apartment,2601.0,5.0,4.0,2.0,1410000.0,131
Paris 16th District - A renovated pied a terre,1880.0,apartment,2601.0,5.0,2.0,1.0,1439999.0,104
Paris 7th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,2.0,1.0,1450000.0,92
Paris 16th District - A 3-bed apartment with a leafy terrace,1932.0,apartment,2601.0,5.0,3.0,2.0,1450000.0,84
Paris 9th District - A bright 3-bed apartment,1850.0,apartment,2601.0,5.0,3.0,2.0,1450000.0,138
Paris 2nd District - A delightful pied a terre,1750.0,apartment,2601.0,5.0,1.0,1.0,1460000.0,74
Paris 7th District - An ideal pied a terre with a terrace,1955.0,apartment,2601.0,5.0,1.0,1.0,1469999.0,51
Paris 8th District - An ideal pied a terre,1991.0,apartment,2601.0,5.0,2.0,2.0,1475000.0,89
Paris 7th District - An ideal pied a terre enjoying Eiffel Tower views,1913.0,apartment,2601.0,5.0,2.0,2.0,1475000.0,62
Paris 3rd District - A peaceful apartment,1900.0,apartment,2601.0,5.0,3.0,2.0,1480000.0,139
"Paris,ÃŽle-de-France,France",1730.0,apartment,2601.0,5.0,1.0,1.0,1489999.0,62
Paris 16th District - A 3-bed family apartment,1969.0,apartment,2601.0,5.0,3.0,2.0,1489999.0,124
Paris 16th District - A 2-bed apartment enjoying an open view,1965.0,apartment,2601.0,5.0,2.0,0.0,1495000.0,103
Paris 16th District - A 3-bed apartment with balconies,1968.0,apartment,2601.0,5.0,3.0,2.0,1495000.0,147
Paris 7th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,2.0,1.0,1500000.0,68
Paris 9th District - A bright loft-style apartment,1880.0,apartment,2601.0,5.0,3.0,2.0,1500000.0,150
Paris 9th District - An elegant 4-room apartment,1850.0,apartment,2601.0,5.0,3.0,2.0,1545000.0,134
Paris 7th District - An ideal pied a terre,1897.0,apartment,2601.0,5.0,1.0,1.0,1545000.0,76
Paris 12th District - A 3-bed apartment with an exceptional terrace,2017.0,apartment,2601.0,5.0,3.0,2.0,1550000.0,103
Paris 16th District - An ideal pied a terre,2017.0,apartment,2601.0,5.0,2.0,1.0,1559999.0,68
Paris 6th District - A workshop to renovate,1900.0,apartment,2601.0,5.0,2.0,1.0,1559999.0,114
Paris 8th District - An ideal pied a terre,1850.0,apartment,2601.0,5.0,2.0,1.0,1570000.0,95
Paris 1st District - A magnificent pied a terre in a prime location,1850.0,apartment,2601.0,5.0,1.0,1.0,1579999.0,68
Paris 8th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,2.0,1.0,1590000.0,84
Paris 6th District - An ideal pied a terre,1927.0,apartment,2601.0,5.0,2.0,1.0,1590000.0,60
Paris 6th District - An ideal pied a terre,1927.0,apartment,2601.0,5.0,2.0,1.0,1590000.0,60
Paris 16th District - An elegant 4-bed apartment,1900.0,apartment,2601.0,5.0,4.0,4.0,1590000.0,132
Paris 8th District - An ideal pied a terre,1900.0,apartment,2601.0,5.0,2.0,1.0,1590000.0,84
Paris 7th District - An ideal pied a terre,1830.0,apartment,2601.0,5.0,1.0,1.0,1590000.0,73
Paris 6th District - A superb 3-bed apartment,1750.0,apartment,2601.0,5.0,3.0,1.0,1647999.0,107
Paris 3rd District - An ideal pied a terre,1722.0,apartment,2601.0,5.0,2.0,2.0,1649999.0,89
Paris 6th District - A split-level 3-bed apartment,1912.0,apartment,2601.0,5.0,3.0,2.0,1649999.0,125
Paris 16th District - A 3/4 bed family apartment with a garden,1956.0,apartment,2601.0,5.0,3.0,2.0,1665000.0,111
Paris 1st District - A split-level apartment in a prime location,1615.0,apartment,2601.0,5.0,3.0,2.0,1669999.0,91
"Paris,ÃŽle-de-France,France",1951.0,apartment,2601.0,5.0,2.0,1.0,1680000.0,100
Paris 5th District - A 4-bed family apartment,1900.0,apartment,2601.0,5.0,4.0,2.0,1685000.0,160
Paris 15th District - A 2/3 bed apartment enjoying an Eiffel Tower view,1930.0,apartment,2601.0,5.0,2.0,1.0,1690000.0,99
Paris 15th District - A top-floor duplex apartment,1976.0,apartment,2601.0,5.0,3.0,2.0,1694999.0,119
Paris 6th District - A perfect pied a terre,1900.0,apartment,2601.0,5.0,2.0,1.0,1694999.0,79
Paris XVIIe - Saint-Ferdinand.,1900.0,apartment,2601.0,5.0,3.0,1.0,1694999.0,147
Paris 16th District - A spacious 3-bed apartment,1928.0,apartment,2601.0,5.0,3.0,0.0,1698999.0,143
Paris 7th District - A 2/3 bed apartment with a terrace,1895.0,apartment,2601.0,5.0,3.0,2.0,1699999.0,125
Paris 16th District - An ideal family apartment,1911.0,apartment,2601.0,5.0,3.0,2.0,1739999.0,127
Paris 5th District - Two apartments with great potential,1850.0,apartment,2601.0,5.0,3.0,0.0,1750000.0,118
Paris 9th District - A 3-bed apartment oozing with period charm,1830.0,apartment,2601.0,5.0,3.0,2.0,1769999.0,130
Paris 16th District - A bright 2/3 bed apartment,1963.0,apartment,2601.0,5.0,2.0,2.0,1784999.0,103
Paris VIe - Jardin du Luxembourg,1914.0,apartment,2601.0,5.0,2.0,1.0,1784999.0,104
Paris 16th District - An ideal pied a terre with a garden,1950.0,apartment,2601.0,5.0,2.0,1.0,1799000.0,81
Paris 5th District - A 3-bed apartment in a prime location,1890.0,apartment,2601.0,5.0,3.0,0.0,1800000.0,117
Paris 6th District - A 3-bed apartment enjoying superb views,1900.0,apartment,2601.0,5.0,3.0,2.0,1800000.0,112
Paris 7th District - An elegant pied a terre,1850.0,apartment,2601.0,5.0,3.0,2.0,1800000.0,94
"Paris,ÃŽle-de-France,France",1700.0,apartment,2601.0,5.0,2.0,0.0,1850000.0,96
Paris 17th District - A 4-bed apartment in mint condition,1900.0,apartment,2601.0,5.0,4.0,2.0,1850000.0,143
Paris 17th District - A six-room apartment to renovate,1910.0,apartment,2601.0,5.0,4.0,2.0,1869000.0,180
Paris 16th District - A peaceful 3-bed apartment,1913.0,apartment,2601.0,5.0,4.0,1.0,1870000.0,138
Paris 1st District - An ideal pied a terre,1840.0,apartment,2601.0,5.0,1.0,1.0,1890000.0,72
Paris 7th District - An apartment with a garden,1850.0,apartment,2601.0,5.0,2.0,1.0,1899999.0,81
Paris 6th District - A 4-bed family apartment,1900.0,apartment,2601.0,5.0,4.0,2.0,1899999.0,121
"Paris,ÃŽle-de-France,France",1950.0,apartment,2601.0,5.0,2.0,2.0,1899999.0,69
Paris 18th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,3.0,1.0,1920000.0,108
Paris 16th District - A peaceful 3-bed apartment enjoying an open view,1960.0,apartment,2601.0,5.0,3.0,2.0,1924999.0,162
Paris 16th District - An ideal pied a terre,1890.0,apartment,2601.0,5.0,2.0,1.0,1929999.0,120
Paris 16th District - A superb pied a terre,1882.0,apartment,2601.0,5.0,2.0,2.0,1929999.0,115
Paris 8th District - A superb pied a terre,1880.0,apartment,2601.0,5.0,2.0,2.0,1949999.0,64
Paris 7th District - A renovated pied a terre,1885.0,apartment,2601.0,5.0,1.0,1.0,1949999.0,79
Paris 6th District Saint Placide Corner apartment,1900.0,apartment,2601.0,5.0,3.0,2.0,1955000.0,109
Paris 17th District - An elegant 4-bed apartment,1896.0,apartment,2601.0,5.0,4.0,2.0,1973999.0,138
Paris 5th District - A bright 3/4 bed apartment,1930.0,apartment,2601.0,5.0,4.0,2.0,1980000.0,152
Paris XVIIe - Pierre Demours - MarchÃ© Lebon.,1900.0,apartment,2601.0,5.0,4.0,2.0,1989999.0,162
Paris 16th District - A 2-bed apartment enjoying a panoramic view,1930.0,apartment,2601.0,5.0,3.0,2.0,1989999.0,138
Paris 16th District - An ideal pied a terre,1963.0,apartment,2601.0,5.0,2.0,0.0,1989999.0,117
Paris 7th District - A superb 4-bed apartment,1932.0,apartment,2601.0,5.0,4.0,3.0,1989999.0,162
Paris 13th District - A 3-bed apartment,2000.0,apartment,2601.0,5.0,3.0,2.0,1994999.0,123
Paris 9th District - An atypical 4/5 bed apartment,1910.0,apartment,2601.0,5.0,4.0,2.0,1994999.0,148
Paris 6th District - A renovated 3-bed apartment,1890.0,apartment,2601.0,5.0,3.0,2.0,1994999.0,112
Paris 16th District - A bright 3 bed apartment with a balcony,1960.0,apartment,2601.0,5.0,3.0,3.0,1994999.0,105
Paris 17th District - A renovated 3-bed apartment,1890.0,apartment,2601.0,5.0,3.0,2.0,1994999.0,160
Paris 1st District - An ideal pied a terre,1700.0,apartment,2601.0,5.0,2.0,1.0,1999999.0,68
Paris 8th District - A bright pied a terre in a prime location,2004.0,apartment,2601.0,5.0,2.0,0.0,1999999.0,87
"Paris,ÃŽle-de-France,France",1932.0,apartment,2601.0,5.0,4.0,2.0,1999999.0,143
Paris 16th District - A renovated pied a terre,1962.0,apartment,2601.0,5.0,2.0,0.0,1999999.0,99
Paris 16th District - A renovated pied a terre with terraces,1956.0,apartment,2601.0,5.0,1.0,0.0,1999999.0,89
Paris 4th District - An ideal pied a terre with a roof terrace,1930.0,apartment,2601.0,5.0,2.0,1.0,2080000.0,88
Paris 16th District - A superb pied a terre,1962.0,apartment,2601.0,5.0,2.0,0.0,2095000.0,90
Paris 16th District - A 2/3 bed apartment,1925.0,apartment,2601.0,5.0,2.0,2.0,2100000.0,155
Paris 16th District - A renovated pied a terre,1992.0,apartment,2601.0,5.0,2.0,4.0,2100000.0,130
Paris 16th District - A bright 3-bed family apartment,1930.0,apartment,2601.0,5.0,3.0,2.0,2100000.0,170
Paris 3rd District - An ideal pied a terre,1870.0,apartment,2601.0,5.0,2.0,2.0,2150000.0,96
Paris 7th District - A spacious 5-room apartment,1885.0,apartment,2601.0,5.0,3.0,1.0,2150000.0,136
Paris 17th District - An elegant 3-bed apartment,1870.0,apartment,2601.0,5.0,3.0,3.0,2190000.0,138
Paris 3rd District - A 4-bed apartment with a balcony,1910.0,apartment,2601.0,5.0,4.0,2.0,2190000.0,130
Paris 7th District - A superb pied a terre,1680.0,apartment,2601.0,5.0,2.0,2.0,2195000.0,176
Paris 16th District - A spacious 2-bed apartment with a balcony,1950.0,apartment,2601.0,5.0,2.0,2.0,2240000.0,136
Paris 6th District - A 5-room apartment in a prime location,1810.0,apartment,2601.0,5.0,3.0,2.0,2249999.0,123
Paris 17th District - Ideal Liberal profession.,1910.0,apartment,2601.0,5.0,5.0,4.0,2280000.0,208
Paris 7th District - A 3-bed apartment with a terrace,1991.0,apartment,2601.0,5.0,3.0,1.0,2289999.0,115
Paris 14th District - A delightful apartment,1974.0,apartment,2601.0,5.0,4.0,4.0,2289999.0,187
Paris 16th District - A renovated 3-bed apartment,1920.0,apartment,2601.0,5.0,3.0,2.0,2294999.0,134
Paris 7th District - An exceptional pied a terre,1934.0,apartment,2601.0,5.0,2.0,1.0,2300000.0,102
Paris 8th District - A 3-bed apartment,1890.0,apartment,2601.0,5.0,3.0,2.0,2300000.0,146
Paris 17th District - A superb 3-bed apartment,1885.0,apartment,2601.0,5.0,3.0,2.0,2350000.0,165
Paris VIe- Jardin du Luxembourg/Port Royal,1908.0,apartment,2601.0,5.0,3.0,2.0,2361999.0,127
Paris 16th District - A sunny apartment oozing with period charm.,1890.0,apartment,2601.0,5.0,3.0,2.0,2389999.0,140
Paris 16th District - A 3/4 bed family apartment,1900.0,apartment,2601.0,5.0,4.0,3.0,2389999.0,231
Paris 2nd District - A superb 3-bed apartment,1890.0,apartment,2601.0,5.0,3.0,2.0,2392000.0,110
Paris 14th District - A superb 3-bed period property,1927.0,villa/townhouse,2601.0,5.0,4.0,3.0,2400000.0,203
Paris 6th District - A bright 3-bed apartment,1930.0,apartment,2601.0,5.0,3.0,2.0,2449999.0,107
Paris 10th District - A meticulously renovated 6-room apartment,1850.0,apartment,2601.0,5.0,3.0,2.0,2449999.0,198
Paris 16th District - A 5-bed family home with terraces,1967.0,villa/townhouse,2601.0,5.0,6.0,4.0,2470000.0,186
Paris 5th District - An elegant 3-bed apartment in a prime location,1867.0,apartment,2601.0,5.0,3.0,1.0,2490000.0,149
Paris 7th District - An ideal pied a terre,1880.0,apartment,2601.0,5.0,2.0,2.0,2499999.0,123
Paris 16th District - A superb penthouse apartment,1969.0,apartment,2601.0,5.0,3.0,3.0,2499999.0,192
PARIS XXe - LA CAMPAGNE A PARIS,1830.0,villa/townhouse,2601.0,5.0,3.0,2.0,2499999.0,144
