id,room_type,room_sharing,room_private,person_capacity,host_status,multi_listing,business_listing,cleanliness_rating,guest_satisfaction_rating,bedrooms,dist_city,dist_metro,attr_index,attr_index_norm,rest_index,rest_index_norm,longitude,latitude,price
1908,Entire home/apt,False,False,2,True,0,0,9,94,1,1.952755262,0.313390114,281.4688992,13.68644566,790.9104216,36.48654192,2.37679,48.84903,289.8685805
1909,Entire home/apt,False,False,3,False,0,0,9,93,2,1.807692798,0.210111191,294.3886719,14.31467055,763.3353181,35.2144381,2.37667,48.86047,519.1536956
1910,Entire home/apt,False,False,4,False,0,1,9,90,1,4.27919745,0.0340368,196.3708681,9.54854772,458.699013,21.16085502,2.37649,48.89173,285.2083139
1911,Entire home/apt,False,False,4,False,0,0,9,93,2,2.06504695,0.147023493,275.8814927,13.41475762,786.2416011,36.27115835,2.37773,48.86513,417.0938578
1912,Private room,False,True,2,True,0,0,10,96,1,4.549298054,0.167837964,185.2944261,9.009954926,429.5547853,19.81636385,2.381,48.893,184.5465561
1913,Private room,False,True,2,False,1,0,9,87,1,1.753026416,0.371131359,303.932738,14.77875146,813.719806,37.53879201,2.37335,48.84858,156.3519433
1914,Private room,False,True,2,False,0,0,10,95,1,3.015758962,0.279527784,207.7483997,10.10178102,564.9950829,26.06454058,2.39244,48.84951,219.964582
1915,Entire home/apt,False,False,2,False,0,0,9,95,1,1.264406472,0.048194876,375.0144942,18.23510701,970.7704865,44.7839061,2.36993,48.85568,324.3545531
1916,Entire home/apt,False,False,5,False,0,0,8,85,1,4.69872858,0.01618273,181.4275569,8.821928127,415.4758747,19.16687087,2.38153,48.89433,244.8970081
1917,Entire home/apt,False,False,2,False,0,0,9,90,1,3.423042437,0.238689552,195.812561,9.521399996,489.1846993,22.56723082,2.38882,48.83704,224.3918352
1918,Private room,False,True,2,False,0,0,10,96,1,1.185044571,0.142977874,375.6280347,18.26494047,978.1487066,45.1242806,2.36877,48.85792,136.0797838
1919,Entire home/apt,False,False,2,False,0,0,10,100,1,1.933796414,0.135614694,297.4276064,14.46243896,824.3086832,38.02728161,2.37161,48.86872,307.1115668
1920,Entire home/apt,False,False,2,True,0,0,10,98,1,1.856719644,0.239526474,289.4064638,14.07241032,803.0213244,37.04524611,2.3757,48.84953,370.7242054
1921,Entire home/apt,False,False,2,False,0,0,9,100,0,1.777014902,0.258565663,293.6470289,14.2786081,841.9028111,38.83893975,2.37661,48.85382,480.9395097
1922,Private room,False,True,2,False,1,0,10,90,0,2.382185501,0.190016593,253.4506936,12.32405838,656.3125119,30.27722651,2.38294,48.86446,258.6447945
1923,Entire home/apt,False,False,2,False,1,0,9,88,0,1.751001957,0.26347892,296.787854,14.43133095,780.0204277,35.98416112,2.37648,48.85825,171.031783
1924,Entire home/apt,False,False,4,False,0,0,10,99,1,4.475251437,0.306948635,155.8652577,7.578959473,369.7928419,17.05940605,2.41188,48.84668,243.2659148
1925,Private room,False,True,2,False,0,0,10,100,1,4.334649377,0.314204427,162.6387085,7.908319009,388.7282774,17.93294184,2.40511,48.83851,793.7599030000001
1926,Entire home/apt,False,False,6,False,0,0,10,94,2,1.633536292,0.13088762,315.9407916,15.36264394,926.757657,42.75349165,2.37156,48.86443,556.2028148
1927,Entire home/apt,False,False,4,False,0,1,9,85,1,1.968101131,0.322246962,280.6268207,13.64549954,791.5366794,36.51543265,2.377,48.849,197.8283158
1928,Entire home/apt,False,False,2,True,0,0,10,98,1,2.403237759,0.268748788,241.8634465,11.76062765,852.9499306,39.34856913,2.38491,48.85246,494.6872961
1929,Private room,False,True,2,False,0,0,10,95,1,5.210611493,1.045836463,138.5774567,6.738338895,318.0440437,14.67211332,2.42117,48.844,178.4882095
1930,Entire home/apt,False,False,4,False,0,1,8,81,1,2.053364798,0.247390216,280.4384139,13.63633824,781.311816,36.04373587,2.37541,48.86741,326.6846864
1931,Entire home/apt,False,False,3,False,0,0,10,93,1,4.495658183,0.24190824,186.3010309,9.058901154,433.1929573,19.9842012,2.38154,48.89227,382.3748718
1932,Entire home/apt,False,False,2,True,0,0,10,98,1,4.040810141,0.135243156,169.7725389,8.255202033,413.1902143,19.06142803,2.40221,48.84058,341.8305527
1933,Entire home/apt,False,False,4,True,0,0,10,99,1,4.737234113,0.573662804,149.1316859,7.251539057,348.41251,16.07308148,2.41555,48.84666,272.3925809
1934,Entire home/apt,False,False,2,False,0,0,10,96,1,2.518058848,0.150298002,244.295337,11.8788785,621.0985163,28.65272278,2.3855,48.86335,266.5672476
1935,Entire home/apt,False,False,3,False,0,0,9,93,1,2.536467876,0.175778196,251.5407833,12.23118886,660.0742137,30.45076258,2.37914,48.87131,207.8478889
1936,Private room,False,True,2,False,0,0,9,94,1,1.298699351,0.055284864,371.8960213,18.08347104,941.0103431,43.41100129,2.37045,48.85651,206.4498089
1937,Private room,False,True,2,False,0,0,10,100,1,1.998589533,0.212571743,284.7133211,13.84420591,814.5930871,37.57907851,2.37474,48.86718,178.2551962
1938,Entire home/apt,False,False,3,False,0,0,8,92,1,3.315133063,0.232337816,196.2555631,9.542941009,511.8956029,23.61493775,2.39125,48.84096,217.6344487
1939,Private room,False,True,2,False,0,0,10,97,1,3.133193538,0.277867898,202.2676421,9.835278784,523.7797163,24.16317962,2.3924,48.8461,155.8859167
1940,Entire home/apt,False,False,2,False,0,0,10,96,1,3.220795335,0.206474688,202.0321669,9.823828786,526.5796849,24.2923487,2.39653,48.85441,254.2175412
