,Type,Rental type,Acreage,Bedrooms,Price/month_new
385,0.0,2.0,133.0,3.0,4815.0
386,0.0,2.0,70.0,2.0,9335.0
387,0.0,2.0,50.0,1.0,7847.0
388,0.0,2.0,117.0,3.0,4675.0
389,0.0,2.0,77.0,2.0,8789.0
390,0.0,2.0,90.0,2.0,4910.0
391,0.0,2.0,60.0,2.0,8059.0
392,0.0,2.0,94.0,2.0,5298.0
393,0.0,2.0,115.0,3.0,8219.0
394,0.0,2.0,80.0,3.0,3600.0
395,0.0,2.0,80.0,3.0,11965.0
396,0.0,2.0,85.0,3.0,5350.0
397,0.0,2.0,100.0,2.0,9880.0
398,0.0,2.0,65.0,1.0,7000.0
399,0.0,2.0,80.0,3.0,12416.0
400,0.0,1.0,70.0,2.0,19000.0
401,0.0,2.0,61.0,2.0,16499.0
402,0.0,2.0,64.0,3.0,13262.0
403,0.0,2.0,38.0,1.0,9999.0
404,0.0,2.0,138.0,3.0,6862.0
405,0.0,2.0,130.0,4.0,15094.0
406,0.0,2.0,130.0,3.0,6420.0
407,0.0,2.0,90.0,3.0,12411.0
408,0.0,2.0,108.0,3.0,16522.0
409,0.0,2.0,80.0,3.0,16627.0
410,0.0,2.0,108.0,3.0,18485.0
411,0.0,2.0,95.0,3.0,14837.0
412,0.0,2.0,180.0,3.0,18459.0
413,0.0,2.0,80.0,4.0,15545.0
414,0.0,2.0,140.0,4.0,15734.0
415,0.0,2.0,78.0,3.0,17855.0
