 Price/Rent (Euros) ;Zip code;Arrondissement;Area (m²);Rooms;Bedrooms;Bathroom;Type (Rental/Housing)
1,973,999;75017;17;138;5;4;2;Rental
1,980,000;75005;5;152;5;4;2;Rental
1,989,999;75017;17;162;5;4;2;Rental
1,989,999;75016;16;138;5;3;2;Rental
1,989,999;75016;16;117;5;2;0;Rental
1,989,999;75007;7;162;5;4;3;Rental
1,994,999;75013;13;123;5;3;2;Rental
1,994,999;75009;9;148;5;4;2;Rental
1,994,999;75006;6;112;5;3;2;Rental
1,994,999;75016;16;105;5;3;3;Rental
1,994,999;75017;17;160;5;3;2;Rental
1,999,999;75001;1;68;5;2;1;Rental
1,999,999;75008;8;87;5;2;0;Rental
1,999,999;75016;16;99;5;2;0;Rental
1,999,999;75016;16;89;5;1;0;Rental
2,080,000;75004;4;88;5;2;1;Rental
2,095,000;75016;16;90;5;2;0;Rental
2,100,000;75016;16;155;5;2;2;Rental
2,100,000;75016;16;130;5;2;4;Rental
2,100,000;75016;16;170;5;3;2;Rental
2,150,000;75003;3;96;5;2;2;Rental
2,150,000;75007;7;136;5;3;1;Rental
2,190,000;75017;17;138;5;3;3;Rental
2,190,000;75003;3;130;5;4;2;Rental
2,195,000;75007;7;176;5;2;2;Rental
2,240,000;75016;16;136;5;2;2;Rental
2,249,999;75006;6;123;5;3;2;Rental
2,280,000;75017;17;208;5;5;4;Rental
2,289,999;75007;7;115;5;3;1;Rental
2,289,999;75014;14;187;5;4;4;Rental
2,294,999;75016;16;134;5;3;2;Rental
2,300,000;75007;7;102;5;2;1;Rental
2,300,000;75008;8;146;5;3;2;Rental
2,350,000;75017;17;165;5;3;2;Rental
2,361,999;75006;6;127;5;3;2;Rental
2,389,999;75016;16;140;5;3;2;Rental
2,389,999;75016;16;231;5;4;3;Rental
2,392,000;75002;2;110;5;3;2;Rental
2,400,000;75014;14;203;5;4;3;Rental
2,449,999;75006;6;107;5;3;2;Rental
2,449,999;75010;10;198;5;3;2;Rental
2,470,000;75016;16;186;5;6;4;Rental
2,490,000;75005;5;149;5;3;1;Rental
2,499,999;75007;7;123;5;2;2;Rental
2,499,999;75016;16;192;5;3;3;Rental
2,499,999;75020;20;144;5;3;2;Rental
2,499,999;75020;20;144;5;3;2;Rental
2,499,999;75006;6;115;5;2;2;Rental
2,499,999;75016;16;162;5;3;2;Rental
2,519,999;75005;5;94;5;2;2;Rental
2,519,999;75008;8;61;5;1;1;Rental
2,549,999;75016;16;169;5;3;2;Rental
2,549,999;75016;16;141;5;3;2;Rental
2,589,999;75016;16;218;5;3;3;Rental
2,589,999;75008;8;190;5;3;2;Rental
2,589,999;75016;16;188;5;4;3;Rental
2,600,000;75010;10;153;5;3;2;Rental
2,650,000;75016;16;169;5;2;2;Rental
2,689,999;75008;8;163;5;4;3;Rental
2,700,000;75016;16;150;5;3;2;Rental
2,700,000;75008;8;180;5;5;4;Rental
2,749,999;75005;5;86;5;1;1;Rental
2,749,999;75016;16;145;5;3;3;Rental
2,749,999;75005;5;149;5;3;2;Rental
2,790,000;75017;17;116;5;2;3;Rental
2,799,999;75009;9;224;5;4;2;Rental
2,799,999;75007;7;93;5;2;2;Rental
2,799,999;75006;6;158;5;3;0;Rental
2,830,000;75007;7;158;5;3;2;Rental
2,840,000;75007;7;106;5;2;2;Rental
2,849,999;75016;16;225;5;5;3;Rental
2,849,999;75007;7;123;5;2;2;Rental
2,849,999;75007;7;126;5;3;2;Rental
2,889,999;75016;16;118;5;2;0;Rental
2,900,000;75017;17;297;5;5;2;Rental
2,950,000;75016;16;237;5;3;3;Rental
2,950,000;75016;16;240;5;6;0;Rental
2,950,000;75017;17;246;5;5;0;Rental
2,990,000;75007;7;159;5;4;3;Rental
2,990,000;75016;16;147;5;3;0;Rental
3,000,000;75007;7;102;5;2;1;Rental
3,097,500;75007;7;115;5;2;2;Rental
3,099,999;75016;16;140;5;3;2;Rental
3,099,999;75016;16;140;5;3;0;Rental
3,099,999;75008;8;148;5;2;2;Rental
3,099,999;75017;17;253;5;4;3;Rental
3,119,999;75018;18;235;5;7;3;Rental
3,130,000;75015;15;126;5;4;3;Rental
3,149,999;75006;6;123;5;3;2;Rental
3,189,999;75008;8;104;5;2;2;Rental
3,200,000;75014;14;212;5;5;0;Rental
3,200,000;75007;7;126;5;3;1;Rental
3,200,000;75016;16;196;5;3;0;Rental
3,250,000;75016;16;212;5;4;0;Rental
3,290,000;75007;7;118;5;3;2;Rental
3,300,000;75017;17;183;5;4;2;Rental
3,360,000;75017;17;138;5;2;2;Rental
3,360,000;75008;8;135;5;3;3;Rental
3,369,999;75007;7;105;5;2;2;Rental
3,390,000;75016;16;192;5;9;2;Rental
3,399,999;75016;16;162;5;3;3;Rental
3,439,999;75008;8;132;5;2;2;Rental
3,464,999;75008;8;106;5;2;2;Rental
3,500,000;75017;17;333;5;6;4;Rental
3,500,000;75008;8;168;5;3;3;Rental
3,500,000;75006;6;132;5;3;3;Rental
3,550,000;75006;6;205;5;5;3;Rental
3,579,999;75017;17;274;5;4;4;Rental
3,599,999;75016;16;247;5;4;4;Rental
3,690,000;75016;16;158;5;3;3;Rental
3,750,000;75016;16;222;5;4;2;Rental
3,750,000;75016;16;324;5;6;4;Rental
3,795,000;75006;6;178;5;3;3;Rental
3,839,999;75014;14;212;5;4;4;Rental
3,850,000;75016;16;212;5;3;2;Rental
3,899,999;75004;4;128;5;2;1;Rental
3,899,999;75014;14;314;5;4;3;Rental
3,949,999;75008;8;178;5;3;3;Rental
3,949,999;75005;5;192;5;3;3;Rental
3,949,999;75008;8;193;5;3;2;Rental
3,960,000;75007;7;186;5;3;2;Rental
3,980,000;75014;14;326;5;5;5;Rental
3,990,000;75008;8;157;5;3;0;Rental
3,990,000;75016;16;204;5;3;2;Rental
3,990,000;75004;4;174;5;2;1;Rental
3,990,000;75008;8;242;5;3;2;Rental
3,999,999;75016;16;234;5;3;2;Rental
4,100,000;75006;6;154;5;3;2;Rental
4,195,000;75006;6;166;5;4;0;Rental
4,199,999;75001;1;295;5;4;3;Rental
4,266,000;75004;4;143;5;2;2;Rental
4,355,000;75001;1;178;5;3;0;Rental
4,499,999;75007;7;177;5;4;2;Rental
4,499,999;75016;16;349;5;4;0;Rental
4,549,999;75016;16;359;5;6;0;Rental
4,580,000;75016;16;277;5;5;3;Rental
4,700,000;75007;7;175;5;3;2;Rental
4,869,999;75003;3;171;5;3;2;Rental
4,900,000;75008;8;282;5;5;6;Rental
4,900,000;75008;8;213;5;3;0;Rental
4,950,000;75008;8;158;5;3;0;Rental
4,984,999;75016;16;280;5;4;4;Rental
5,000,000;75008;8;195;5;3;2;Rental
0;75007;7;270;5;4;4;Rental
5,200,000;75006;6;168;5;3;2;Rental
5,200,000;75008;8;166;5;3;2;Rental
5,250,000;75016;16;223;5;5;3;Rental
5,399,999;75016;16;217;5;3;0;Rental
5,399,999;75006;6;196;5;3;2;Rental
5,489,999;75005;5;253;5;5;3;Rental
5,494,999;75016;16;207;5;4;0;Rental
5,600,000;75008;8;184;5;3;3;Rental
5,685,000;75016;16;198;5;3;3;Rental
5,750,376;75006;6;257;5;3;1;Rental
5,800,000;75016;16;316;5;4;0;Rental
5,850,000;75008;8;311;5;4;0;Rental
5,899,999;75008;8;134;5;2;2;Rental
5,899,999;75007;7;204;5;4;3;Rental
5,899,999;75008;8;183;5;4;3;Rental
5,949,999;75007;7;271;5;4;4;Rental
6,199,999;75008;8;307;5;3;0;Rental
6,240,000;75016;16;144;5;2;2;Rental
6,299,999;75008;8;217;5;3;3;Rental
6,400,000;75016;16;282;5;3;0;Rental
0;75016;16;334;5;4;4;Rental
6,499,999;75004;4;225;5;3;1;Rental
6,499,999;75001;1;188;5;4;3;Rental
6,670,000;75016;16;277;5;4;0;Rental
0;75007;7;346;5;3;0;Rental
7,099,999;75008;8;221;5;6;0;Rental
7,449,999;75016;16;346;5;6;0;Rental
7,592,000;75007;7;187;5;3;3;Rental
7,900,000;75008;8;386;5;7;0;Rental
8,400,000;75008;8;183;5;3;0;Rental
0;75016;16;390;5;4;3;Rental
0;75007;7;282;5;3;3;Rental
8,899,999;75008;8;245;5;3;3;Rental
0;75008;8;334;5;4;5;Rental
9,600,000;75016;16;405;5;4;3;Rental
0;75007;7;263;5;5;2;Rental
9,749,999;75008;8;222;5;3;0;Rental
9,949,999;75016;16;332;5;3;3;Rental
10,200,000;75006;6;529;5;15;0;Rental
0;75016;16;430;5;5;3;Rental
10,950,000;75016;16;293;5;4;2;Rental
11,000,000;75007;7;224;5;3;0;Rental
11,500,000;75001;1;239;5;2;0;Rental
0;75016;16;389;5;3;4;Rental
12,360,000;75016;16;543;5;5;3;Rental
12,899,999;75008;8;367;5;5;4;Rental
13,949,999;75007;7;502;5;4;0;Rental
14,800,000;75016;16;438;5;5;5;Rental
0;75001;1;337;5;4;0;Rental
0;75016;16;506;5;7;0;Rental
