Price/Rent (Euros),Bathroom,Type (Rental/Housing),Rooms,Bedrooms,Area (m²),Arrondissement,ZipCode
1480000,3,Housing,4,3,103.07,7,75007
890000,2,Housing,3,2,61.04,16,75016
2190000,4,Housing,4,4,123.7,6,75006
595000,2,Housing,2,2,52.0,7,75007
1595000,2,Housing,3,2,90.0,17,75017
1950000,1,Housing,4,1,115.04,7,75007
1390000,1,Housing,3,1,68.15,6,75006
1290000,2,Housing,4,2,85.06,3,75003
508800,1,Housing,2,1,35.45,13,75013
995000,3,Housing,4,3,70.01,17,75017
1865000,1,Housing,4,1,112.8,6,75006
960000,0,Housing,4,0,71.0,16,75016
900000,2,Housing,4,2,70.16,16,75016
2200000,5,Housing,6,5,164.0,16,75016
2450000,0,Housing,6,0,160.0,15,75015
315000,1,Housing,1,1,24.25,7,75007
997000,2,Housing,3,2,61.91,5,75005
2100000,3,Housing,6,3,153.83,8,75008
2180000,4,Housing,7,4,172.47,17,75017
790000,2,Housing,3,2,59.17,10,75010
1680000,1,Housing,4,1,76.09,6,75006
570000,2,Housing,2,2,44.49,13,75013
313000,1,Housing,2,1,24.5,8,75008
485000,1,Housing,1,1,32.0,5,75005
1350000,1,Housing,4,1,106.32,17,75017
1365000,3,Housing,4,3,113.57,16,75016
3200000,5,Housing,7,5,195.0,17,75017
2880000,4,Housing,5,4,145.55,7,75007
2250000,2,Housing,6,2,175.0,3,75003
955000,2,Housing,3,2,72.1,17,75017
2120000,4,Housing,6,4,195.23,16,75016
1575000,5,Housing,5,5,111.0,3,75003
1670000,2,Housing,5,2,134.0,16,75016
1390000,0,Housing,5,0,98.06,16,75016
1680000,3,Housing,5,3,178.45,15,75015
490000,1,Housing,2,1,35.0,3,75003
1200000,2,Housing,3,2,80.13,9,75009
378000,1,Housing,2,1,32.0,11,75011
2650000,4,Housing,5,4,175.0,17,75017
550000,2,Housing,1,2,29.23,6,75006
1490000,2,Housing,6,2,118.28,12,75012
3200000,3,Housing,6,3,140.0,7,75007
420000,1,Housing,2,1,33.51,17,75017
2700000,2,Housing,4,2,120.17,7,75007
980000,2,Housing,4,2,70.03,17,75017
680000,1,Housing,2,1,58.0,16,75016
1790000,3,Housing,5,3,115.55,17,75017
2610000,2,Housing,6,2,180.12,6,75006
925000,1,Housing,4,1,88.59,16,75016
1334000,2,Housing,4,2,89.92,4,75004
1560000,2,Housing,6,2,114.2,16,75016
850000,1,Housing,2,1,52.95,7,75007
330000,1,Housing,2,1,22.52,5,75005
1295000,3,Housing,4,3,99.78,9,75009
1495000,3,Housing,5,3,116.25,8,75008
890000,2,Housing,3,2,65.1,17,75017
2100000,2,Housing,3,2,85.0,7,75007
1395000,3,Housing,4,3,110.06,17,75017
760000,1,Housing,3,1,48.77,7,75007
2690000,3,Housing,6,3,144.65,15,75015
1250000,2,Housing,2,2,72.98,6,75006
1295000,2,Housing,4,2,95.5,17,75017
1540000,4,Housing,6,4,121.88,17,75017
105000,2,Housing,1,2,9.46,3,75003
890000,2,Housing,3,2,62.99,6,75006
895000,2,Housing,3,2,62.54,6,75006
1310400,3,Housing,3,3,104.85,16,75016
1450000,4,Housing,4,4,110.54,16,75016
1450000,2,Housing,3,2,78.38,18,75018
1450000,0,Housing,4,0,96.5,7,75007
1490000,3,Housing,5,3,126.45,16,75016
1550000,2,Housing,4,2,109.04,19,75019
2450000,2,Housing,5,2,127.0,6,75006
3130000,3,Housing,4,3,137.25,5,75005
3370000,3,Housing,6,3,147.09,7,75007
3190000,2,Housing,5,2,123.67,7,75007
695000,1,Housing,3,1,48.51,3,75003
2150000,2,Housing,6,2,148.2,9,75009
2050000,4,Housing,4,4,171.32,16,75016
1090000,1,Housing,4,1,77.04,16,75016
1270000,2,Housing,3,2,63.79,7,75007
550000,2,Housing,2,2,45.07,15,75015
2200000,2,Housing,7,2,134.75,3,75003
2700000,2,Housing,5,2,150.69,14,75014
2050000,1,Housing,4,1,83.0,7,75007
1270000,1,Housing,3,1,95.0,4,75004
2270000,3,Housing,6,3,184.1,17,75017
795000,1,Housing,3,1,58.17,7,75007
1790000,4,Housing,7,4,154.01,16,75016
2150000,3,Housing,5,3,101.0,16,75016
499000,2,Housing,2,2,50.67,16,75016
1730000,3,Housing,4,3,107.35,5,75005
2090000,3,Housing,5,3,132.34,8,75008
1670000,2,Housing,3,2,92.8,8,75008
2100000,3,Housing,4,3,112.44,14,75014
2050000,3,Housing,6,3,150.0,16,75016
3360000,6,Housing,6,6,163.07,6,75006
