"Address","Price","Area","Floor","Property_Type","Bed","Rooms","Num_people","Link"
"Avenue René Coty, 75014, Paris",1100,20,2,"Apartment",NA,1,2,"https://wunderflats.com/en/furnished-apartment/charming-beautiful-suite-in-the-heart-of-town-paris-available-november-2024/66b2475557743ad2ed960311?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Boulevard de Courcelles, 75017, Paris",1600,29,6,"Apartment",1,2,1,"https://wunderflats.com/en/furnished-apartment/parisian-cocoon-under-the-roofs-with-eiffel-tower-view/65940a852401a0b1ad8d192b?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Amelot, 75011, Paris",3600,68,1,"Apartment",3,2,4,"https://wunderflats.com/en/furnished-apartment/magnificent-flat-near-the-marais/66aa2ebf6403397f544e9f75?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Villa Berthier, 75017, Paris",1250,23,3,"Apartment",1,2,1,"https://wunderflats.com/en/furnished-apartment/very-cute-and-cozy-studio-close-to-place-de-letoile/6525baa26dcf1da85a063517?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de Sofia, 75018, Paris",2611,49,5,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/spacious-49m2-apartment-on-the-5th-floor-with-two-bedrooms/651c2ffeb455c23e9a8447d1?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de l'Arrivée, 75015, Paris",4222,64,4,"Apartment",2,3,3,"https://wunderflats.com/en/furnished-apartment/stunning-64m-two-bedroom-apartment-just-opposite-gare-montparnasse/64959b22483f5a78adc86e8e?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Marcadet, 75018, Paris",1800,45,1,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/unique-apartment-at-marcadet/66aba3e094b5041ed8131893?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de Turenne, 75003, Paris",3200,60,3,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/id393-inviting-1-bedroom-apartment-in-rue-de-turenne/65a7ee85b17404f434c006a1?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue du Capitaine Morinet, 94270, Le Kremlin-Bicêtre",700,10,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-10m-bedroom-fully-furnished/667ebe13e4cf67cb906c19fe?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Boulevard Morland, 75004, Paris",3500,65,6,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/modern-and-original-loft-in-the-heart-of-the-marais/6390add1d2713ff232b43d8e?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de la Folie Méricourt, 75011, Paris",1940,42,2,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/lovely-parisian-apt-for-2-persons/641ae3ff29b93892117ab871?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"rue de Tournon, 75006, Paris",2900,45,3,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/id390-exquisite-apartment-in-rue-de-tournon-6th-arrondissement/6585952681919b467399a989?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue du Landy, 93210, Saint-Denis",2900,60,4,"Apartment",NA,3,5,"https://wunderflats.com/en/furnished-apartment/cozy-and-awesome-appartement-close-to-park-saint-denis/65f0460db2bfd51014f5be1b?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Aristide Briand, 92300, Levallois-Perret",1600,40,0,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/charming-flat-with-access-to-a-magnificent-garden/66ab54f0c6722bfd0204afaf?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Gounod, 75017, Paris",2500,55,0,"Apartment",NA,2,4,"https://wunderflats.com/en/furnished-apartment/whole-apartment-charming-apartment-paris-france4-travellers-2-bedrooms-3-beds-1-bathroom-home-with-nice-neighbours-paris/66530b1f7fdcbdeaf15c1069?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue des Pyrénées, 75020, Paris",1900,29,1,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/spacious-cozy-home-close-to-park/65760cf1cf5581c7fed88f4b?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue du Capitaine Morinet, 94270, Le Kremlin-Bicêtre",800,12,4,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-12-m-room/661d4ebcba6f91ef541bd2b0?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue Guisarde, 75006, Paris",2270,52,1,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/paris-heart-saint-germain-standing/66abb282a060cc636a7c5716?from=2025-12-31&dataLayerKey=i7YuYzEa_nyW_GYre_JFC"
"Rue de Douai, 75009, Paris",3437,49,0,"Apartment",2,3,4,"https://wunderflats.com/en/furnished-apartment/g/comfortable-2-bedroom-private-apartment-w-shared-co-working-space-gym-and-courtyard/xrrJdfmEGLkJr8csJrtt2?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Mozart, 92110, Clichy",878,12,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-flat/65e087e6aaddd2df89c45467?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Quai des Grands Augustins, 75006, Paris",3100,55,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/id-410-lovely-1-bedroom-apartment-near-notre-dame/65f478fd6255cbe6d813a3a6?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Charolais, 75012, Paris",750,9,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/shared-flat-1-bedroom-in-an-apartment/63fb3ac0d8a40764ef419b13?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Boulevard Brune, 75014, Paris",1567,19,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-fully-equipped-19m2-studio-near-porte-de-vanves-close-to-transport-links/65377503b01b91d2a08cdcf8?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Marguerite de Rochechouart, 75009, Paris",1890,27,6,"Apartment",NA,2,2,"https://wunderflats.com/en/furnished-apartment/charming-appartement-with-stunning-view-of-sacre-coeur/64b6fc898dedd4b42123ab12?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Avenue de Wagram, 75017, Paris",1678,12,6,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-studio-of-11m2-located-in-the-17th-district-of-paris-close-to-transport/63dccbb363e8ec190b7fd30d?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Mozart, 92110, Clichy",856,10,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-flat/65e08714aaddd2df89c44b94?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Boulevard Chastenet de Géry, 94270, Le Kremlin-Bicêtre",833,11,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-11-m-room/6617f73b26485d50360ad860?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Jean Mermoz, 94270, Le Kremlin-Bicêtre",711,9,10,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-a-little-cocoon-for-your-stay-in-paris/6617fcab26485d50360b06e5?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue de l'Abbé Grégoire, 75006, Paris",7222,75,3,"Apartment",3,4,6,"https://wunderflats.com/en/furnished-apartment/spacious-77m-apartment-on-the-3rd-floor-with-elevator/64e466207b71ec41f3dfc3bd?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Mozart, 92110, Clichy",844,10,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-flat/65e083b0aaddd2df89c430d7?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue le Regrattier, 75004, Paris",1810,21.5,5,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/elegant-studio-on-ile-saint-louis/668e47a500695b09b02b4174?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Bailly, 93210, Saint-Denis",889,23,3,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-spacious-23-m-room-with-private-balcony/65ef01fa873f23ade11591d9?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Bailly, 93210, Saint-Denis",889,25,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-a-spacious-room-in-saint-denis/65f459cac9da7600b2bf6c3f?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue de la Plaine, 75020, Paris",1400,29,7,"Apartment",2,3,2,"https://wunderflats.com/en/furnished-apartment/quiet-apartment-in-excellent-location/6645fc8b54b9092f5c918fcf?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue de Fontarabie, 75020, Paris",1200,18,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/charming-and-fantastic-apartment-in-vibrant-neighbourhood/65240b3a47148ff149246488?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Grégoire de Tours, 75006, Paris",1889,20,3,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/cozy-studio-saint-germain-des-pres-odeon/63d0e8d9c99c2695de0a0fda?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Pelleport, 75020, Paris",1590,43,0,"Apartment",2,2,3,"https://wunderflats.com/en/furnished-apartment/g/fantastic-bright-apartment/_9voY9nARKN6g9P3DOg2k?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Avenue Rapp, 75007, Paris",3778,70,5,"Apartment",2,3,3,"https://wunderflats.com/en/furnished-apartment/quiet-and-bright-2-bedrooms-in-perfect-condition/6347ea071b4cc1cd21cc8534?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Dulac, 75015, Paris",1590,36,4,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/cozy-and-perfect-flat-in-paris-montparnasse/6685043b953867f4a596951c?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Faubourg Saint-Antoine, 75012, Paris",1278,11,0,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/g/private-room-in-a-charming-apartment-with-shared-spaces-mobility-lease-paris-12/Cv79jsw_Fkvsj2l_OoUi5?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue des Archives, 75004, Paris",2833,20,4,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/studio-2p-renovated-rue-des-archives-marais/63ce83afeb195439b206c6b7?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Temple, 75003, Paris",7500,100,4,"Apartment",NA,3,4,"https://wunderflats.com/en/furnished-apartment/elegant-100sqm-two-bedrooms-in-marais/66a10191a60ccfe65f0522b4?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Bailly, 93210, Saint-Denis",889,23,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-large-23-m-bedroom/65eeee6b873f23ade1151bd4?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Laos, 75015, Paris",1444,10,0,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/g/elegant-private-room-in-the-15th-arrondissement/K9_pbosnJVxLSeQrBkCp0?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Adrien Meslier, 93400, Saint-Ouen-sur-Seine",3900,120,7,"Apartment",NA,5,6,"https://wunderflats.com/en/furnished-apartment/amazing-view-on-montmartre-metro-all-commodities-schools-nearby/657982ceb5b303301c2b42a2?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue de Crimée, 75019, Paris",1980,44,6,"Apartment",NA,2,2,"https://wunderflats.com/en/furnished-apartment/luxurious-all-inclusive-art-deco-apartment-fully-equipped-near-buttes-chaumont/66aa2c8a6403397f544e947f?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Avenue du Président Wilson, 93210, Saint-Denis",944,30,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-imposing-room-in-saint-denis/65f46f2ec9da7600b2bfe887?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue Romain Rolland, 92220, Bagneux",1775,46,4,"Apartment",2,2,4,"https://wunderflats.com/en/furnished-apartment/amazing-2-room-apartment-with-terrace/665b186b2fa0cfe0b2ff4baf?from=2025-12-31&dataLayerKey=EieVNyWz1vcdm9EdOYQtv"
"Rue du Bailly, 93210, Saint-Denis",822,13,6,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/co-living-a-pleasant-room-in-saint-denis/65f463fec9da7600b2bfac74?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Boulevard de Grenelle, 75015, Paris",3100,55,2,"Apartment",1,2,2,"https://wunderflats.com/en/furnished-apartment/1-bedroom-apartment-close-to-the-eiffel-tower/63445f92fa9e293cfc7c8452?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue du Mont-Cenis, 75018, Paris",3700,60,5,"Apartment",2,3,3,"https://wunderflats.com/en/furnished-apartment/panoramic-parisian-splendor-luxury-retreat-with-montmartre-and-sacre-coeur-views/65c42ce4b4f59caae5984d44?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue Mozart, 92110, Clichy",844,10,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-apartment/65de00981beed0ec1d9d8ad3?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue Mozart, 92110, Clichy",844,10,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-apartment/65ddf9c31beed0ec1d9d5a81?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue du Chemin Vert, 75011, Paris",3400,50,3,"Apartment",3,3,4,"https://wunderflats.com/en/furnished-apartment/serene-escape-in-the-heart-of-paris-near-marais/660481407d8115a5d6f00560?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue Mozart, 92110, Clichy",856,11,1,"Apartment",1,1,1,"https://wunderflats.com/en/furnished-apartment/private-bedroom-in-shared-apartment/65ddf81a1beed0ec1d9d51a9?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
"Rue des Lombards, 75001, Paris",1848,31,1,"Apartment",1,1,2,"https://wunderflats.com/en/furnished-apartment/rental-furnished-appartment-studio-31m-chatelet-les-halles/63bfdf65f5f8e1fb01b859cb?from=2025-12-31&dataLayerKey=iR83v6NKxhT_seIfmFrw8"
